year (AD),age (BP),age (BP),age (yr),temperature (degC),Uk37 (UK37)
1936.5,13.5,0,-,26.82,0.929
1776,174,74.96,90.18,26.92,0.932
1624,326,139.88,96.58,26.71,0.925
1554,396,171.82,88.41,26.73,0.926
1458,492,242.61,108.51,26.95,0.933
1315,635,370.77,116.74,26.75,0.927
1165,785,496.5,56.08,26.68,0.924
983,967,734.64,173.68,26.88,0.931
772,1178,976.29,216.61,26.96,0.934
593,1357,1168.99,225.85,26.79,0.928
411,1539,1361.22,216.49,26.7,0.925
191,1759,1600.65,173.93,26.77,0.928
68,1882,1743.21,120.16,26.82,0.929
-114,2064,1924.34,117.68,26.39,0.915
-271,2221,2047.69,129.1,26.73,0.926
-387,2337,2126.32,145.51,26.52,0.919
-487.5,2437.5,2194.52,150.39,26.7,0.925
-591,2541,2262.31,147.01,26.61,0.922
-721,2671,2339.2,131.59,26.39,0.915
-869,2819,2414.8,96.11,26.45,0.917
-995,2945,2536.7,128.22,26.72,0.926
-1177,3127,2728.01,109.74,26.45,0.917
-1313,3263,2858.74,95.12,26.66,0.924
-1587.5,3537.5,3101.39,182.27,26.74,0.926
-1767,3717,3268.32,203.41,26.43,0.916
-1922,3872,3416.3,206.56,26.49,0.918
-2115,4065,3600.75,190.85,26.51,0.919
-2312,4262,3784.32,146.96,26.65,0.923
-2518,4468,3961.39,129.18,26.66,0.924
-2689,4639,4095.91,149.27,26.53,0.92
-2819,4769,4195.82,143.49,26.62,0.922
-2990,4940,4327.26,100.18,26.51,0.919
-3198,5148,4818.33,154.35,26.55,0.92
-3397,5347,4994.88,199.97,26.57,0.921
-3586,5536,5170.65,222.45,26.67,0.924
-3747,5697,5328.43,228.58,26.8,0.928
-3932,5882,5520.81,219.42,26.59,0.922
-4058,6008,5660.36,199.92,26.7,0.925
-4175,6125,5799.47,165.49,26.41,0.916
-4258,6208,5903.19,122.64,26.59,0.921
-4361,6311,5990.58,94.06,26.54,0.92
-4483,6433,6051.5,109.36,26.54,0.92
-4584,6534,6099.74,111.57,26.29,0.912
-4723,6673,6159.46,102.44,26.21,0.909
-4853,6803,6263.82,133.49,26.26,0.911
-4926,6876,6377.45,177.39,25.97,0.901
-5084,7034,6603.41,228.14,26.25,0.91
-5257,7207,6828.6,252.28,25.96,0.901
-5394,7344,6997.16,257.74,26.15,0.907
-5582,7532,7221.49,249.47,26.27,0.911
-5822,7772,7501.14,210.32,25.85,0.897
-6059,8009,7778.91,108.81,25.92,0.899
-6219.5,8169.5,8186.84,118.2,25.74,0.893
-6416,8366,8309.53,164.63,26.11,0.906
-6520.5,8470.5,8377.35,180.13,25.77,0.894
-6661,8611,8472.09,194.06,25.75,0.894
