age (yr BP),depth (cm),error (yr),cc (NA),ta (NA),tb (NA),type (NA),material (NA)
-48,0,1,0,33,34,surface (coring date 1998),Aquatic bryophyte
1210,27,110,1,3,4,AMS14C,Aquatic bryophyte
3130,62,70,1,3,4,AMS14C,Aquatic bryophyte
3700,73,60,1,3,4,AMS14C,Aquatic bryophyte
4010,86,60,1,3,4,AMS14C,Aquatic bryophyte
5640,108,180,1,3,4,AMS14C,Aquatic bryophyte
6710,126,30,1,3,4,AMS14C,Aquatic bryophyte
