depth (m),age (BP),planktic.MgCa (mmol_mol),temperature (degC),planktic.d18O (permil),depth (m),age (BP),planktic.MgCa (mmol_mol),temperature (degC),planktic.d18O (permil),depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),Mg/Ca (mmol_mol),deep.temp (degC),Mg/Ca (mmol_mol),deep.temp (degC),Mg/Ca (mmol_mol),deep.temp (degC)
0.025,524,1.672,14.7,1,0.025,524,2.608,17.6,-0.17,1.405,10738,-0.57,2.68,0.435,6051,1.27,2.46,0.435,6051,NA,NA,1.24,2,NA,NA
0.035,734,1.639,14.3,1.01,0.035,734,2.61,17.6,-0.33,1.495,10835,-0.43,2.43,0.445,6109,1.1,2.21,0.445,6109,NA,NA,1.56,3,NA,NA
0.045,943,1.661,14.5,1.09,0.045,943,2.873,19,-0.27,1.545,10890,-0.69,2.79,0.455,6166,1.19,2.51,0.495,6397,NA,NA,1.7,3.4,NA,NA
0.055,1153,1.771,15.8,1.04,0.065,1362,2.606,17.6,-0.23,1.565,10911,-0.56,2.71,0.465,6224,0.79,3.22,0.505,6455,NA,NA,1.78,3.6,1.61,3.89
0.065,1362,1.695,14.9,0.89,0.085,1697,2.652,17.85,-0.34,1.585,10933,-0.66,2.66,0.485,6340,0.75,3.13,0.525,6570,NA,NA,1.52,2.9,NA,NA
0.075,1572,1.743,15.5,1.09,0.095,1821,2.739,18.3,-0.15,1.645,10998,-0.77,2.64,0.495,6397,0.97,1.98,0.535,6628,1.69,3.35,NA,NA,NA,NA
0.085,1697,1.766,15.7,0.95,0.105,1946,2.801,18.6,-0.37,1.655,11009,-0.76,2.63,0.505,6455,1.21,2.29,0.545,6686,NA,NA,1.61,3.2,NA,NA
0.095,1821,1.709,15.1,0.98,0.115,2071,2.885,19.1,-0.23,1.665,11020,-0.68,2.71,0.515,6513,0.9,2.72,0.555,6744,1.57,3.03,NA,NA,NA,NA
0.105,1946,1.745,15.5,0.95,0.125,2195,2.615,17.7,-0.27,1.675,11031,-0.86,2.71,0.525,6570,1.07,2.27,0.565,6801,1.5,2.84,NA,NA,NA,NA
0.115,2071,1.807,16.2,1.08,0.135,2320,2.752,18.4,-0.27,1.685,11041,-1.28,2.7,0.535,6628,0.8,2.7,0.585,6917,1.58,3.06,NA,NA,NA,NA
0.125,2195,1.794,16,1.15,0.145,2445,2.653,17.9,-0.12,1.695,11052,-0.94,2.63,0.545,6686,1.25,2.48,0.595,6974,1.67,3.3,NA,NA,NA,NA
0.135,2320,1.89,16.6,1.21,0.155,2569,2.559,17.3,-0.29,1.705,11063,-1.01,2.58,0.555,6744,1.01,2.36,0.605,7032,1.64,3.23,NA,NA,NA,NA
