year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1508,442,57.405,14.596,0.675,94.934
1486.36,463.64,86.44,15.303,0.706,115.107
1464.721,485.279,115.528,15.641,0.721,131.565
1443.081,506.919,144.65,15.742,0.726,145.573
1421.441,528.559,173.797,15.728,0.725,157.782
1399.802,550.198,202.964,16.067,0.74,168.585
1378.162,571.838,232.148,16.028,0.738,178.235
1356.522,593.478,261.345,15.982,0.736,186.912
1334.883,615.117,290.555,15.827,0.729,194.745
1313.243,636.757,319.775,16.009,0.737,201.833
1291.603,658.397,349.004,16.12,0.742,208.251
1269.964,680.036,378.242,16.226,0.747,214.06
1248.324,701.676,407.488,16.129,0.743,219.308
1226.684,723.316,436.742,16.267,0.749,224.034
1183.405,766.595,495.269,16.171,0.745,232.044
1161.765,788.235,524.543,16.204,0.746,235.378
1140.126,809.874,553.822,16.402,0.755,238.289
1118.486,831.514,583.107,16.579,0.762,240.794
1096.846,853.154,612.398,16.343,0.752,242.905
1075.206,874.794,641.694,16.448,0.757,244.631
1053.567,896.433,670.996,16.366,0.753,245.982
1031.927,918.073,700.303,16.554,0.761,246.962
1010.287,939.713,729.615,16.61,0.764,247.577
988.648,961.352,758.933,16.602,0.763,247.829
967.008,982.992,788.255,16.64,0.765,247.72
945.37,1004.63,817.584,17.001,0.781,247.248
923.73,1026.27,846.917,16.917,0.777,246.411
902.09,1047.91,876.256,17.019,0.782,245.207
880.45,1069.55,905.6,17.117,0.786,243.628
858.81,1091.19,934.949,16.759,0.77,241.669
837.17,1112.83,964.305,16.825,0.773,239.319
815.53,1134.47,993.666,16.641,0.765,236.567
793.89,1156.11,1023.034,16.935,0.778,233.398
772.25,1177.75,1052.408,16.475,0.758,229.795
707.33,1242.67,1140.573,16.363,0.753,216.155
685.69,1264.31,1169.977,16.785,0.772,210.561
664.05,1285.95,1199.39,16.857,0.775,204.375
642.41,1307.59,1228.814,16.746,0.77,197.542
620.77,1329.23,1258.248,16.749,0.77,189.992
599.13,1350.87,1287.696,16.503,0.759,181.634
577.49,1372.51,1317.159,16.501,0.759,172.35
555.85,1394.15,1346.64,16.36,0.753,161.983
534.21,1415.79,1376.145,16.406,0.755,150.305
512.57,1437.43,1405.679,16.617,0.764,136.982
490.94,1459.06,1435.257,16.931,0.778,121.471
469.3,1480.7,1464.909,16.867,0.775,102.779
447.66,1502.34,1494.745,16.769,0.771,78.642
421.62,1528.38,1523.311,16.876,0.776,83.365
392.66,1557.34,1551.201,17.035,0.783,105.053
363.7,1586.3,1579.247,16.905,0.777,122.062
334.74,1615.26,1607.364,16.969,0.78,136.18
305.78,1644.22,1635.525,16.799,0.772,148.241
276.82,1673.18,1663.718,17.171,0.789,158.72
247.86,1702.14,1691.935,16.693,0.768,167.915
218.89,1731.11,1720.172,17.088,0.785,176.028
189.93,1760.07,1748.426,17.106,0.786,183.206
160.97,1789.03,1776.694,16.92,0.777,189.555
132.01,1817.99,1804.976,16.499,0.759,195.157
103.05,1846.95,1833.269,16.621,0.764,200.075
74.09,1875.91,1861.573,16.778,0.771,204.36
45.13,1904.87,1889.886,16.89,0.776,208.05
16.16,1933.84,1918.209,16.82,0.773,211.179
-12.8,1962.8,1946.541,16.795,0.772,213.77
-41.76,1991.76,1974.882,16.542,0.761,215.844
-70.72,2020.72,2003.231,16.953,0.779,217.416
-99.68,2049.68,2031.588,17.34,0.796,218.497
-128.64,2078.64,2059.953,17.202,0.79,219.095
-157.6,2107.6,2088.325,16.635,0.765,219.214
-186.57,2136.57,2116.705,16.947,0.779,218.856
-215.53,2165.53,2145.093,17.143,0.787,218.018
-244.49,2194.49,2173.489,17.099,0.785,216.695
-273.45,2223.45,2201.893,17.513,0.804,214.88
-302.41,2252.41,2230.306,17.545,0.805,212.56
-331.37,2281.37,2258.726,18.186,0.833,209.718
-360.33,2310.33,2287.156,17.216,0.791,206.335
-389.29,2339.29,2315.594,16.822,0.773,202.383
-418.26,2368.26,2344.043,17.045,0.783,197.83
-447.22,2397.22,2372.502,17.119,0.786,192.633
-476.18,2426.18,2400.973,17.271,0.793,186.741
-505.14,2455.14,2429.456,16.95,0.779,180.086
-563.06,2513.06,2486.467,17.52,0.804,164.117
-592.02,2542.02,2515,17.158,0.788,154.535
-620.99,2570.99,2543.556,17.627,0.809,143.618
-649.95,2599.95,2572.143,17.378,0.798,131.042
-678.91,2628.91,2600.77,17.6,0.807,116.287
-707.87,2657.87,2629.461,17.142,0.787,98.414
-736.83,2686.83,2658.279,17.576,0.806,75.367
-775.28,2725.28,2697.046,17.247,0.792,68.365
-851.66,2801.66,2774.964,17.609,0.808,123.292
-928.03,2878.03,2853.278,17.403,0.799,154.347
-1004.41,2954.41,2931.741,17.878,0.82,174.406
-1080.79,3030.79,3010.3,17.488,0.802,186.949
-1157.17,3107.17,3088.936,18.207,0.834,193.391
-1233.55,3183.55,3167.641,17.415,0.799,194.304
-1309.93,3259.93,3246.416,17.624,0.808,189.731
-1386.31,3336.31,3325.265,17.348,0.796,179.215
-1462.69,3412.69,3404.205,18.099,0.829,161.544
-1539.07,3489.07,3483.278,18.109,0.83,133.813
-1615.45,3565.45,3562.643,18.23,0.835,86.426
-1726.35,3676.35,3673.771,17.674,0.811,123.628
-1860.25,3810.25,3806.857,18.498,0.847,185.96
-1994.16,3944.16,3940.278,17.987,0.824,227.735
-2128.07,4078.07,4073.858,17.848,0.818,259.196
-2261.98,4211.98,4207.541,18.106,0.83,283.824
-2395.89,4345.89,4341.301,17.836,0.818,303.305
-2529.8,4479.8,4475.123,18.149,0.832,318.591
-2663.71,4613.71,4608.999,18.638,0.853,330.27
-2797.62,4747.62,4742.923,18.112,0.83,338.721
-2931.53,4881.53,4876.892,17.936,0.822,344.183
-3065.44,5015.44,5010.902,18.281,0.837,346.8
-3199.35,5149.35,5144.953,17.965,0.823,346.638
-3333.25,5283.25,5279.046,17.996,0.825,343.694
-3467.16,5417.16,5413.181,17.632,0.809,337.897
-3601.07,5551.07,5547.361,17.995,0.825,329.098
-3734.98,5684.98,5681.59,18.603,0.852,317.046
-3868.89,5818.89,5815.874,18.263,0.837,301.353
-4002.8,5952.8,5950.223,18.42,0.843,281.41
-4136.71,6086.71,6084.653,18.278,0.837,256.224
-4270.62,6220.62,6219.193,18.31,0.839,224.031
