depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
890,Carbon-14,109165,45,1860,dark brown dy,NA
970,Carbon-14,109166,80,3480,dark brown dy,NA
1070,Carbon-14,109167,160,4740,transitional,NA
1170,Carbon-14,109168,80,6170,greenish gray silty gyttja,NA
1260,Carbon-14,109169,290,10550,gray silt,NA
