year (AD),age (BP),IP25_flux (gcm-2yr-1)
1366.26,583.74,0.13
1338.488,611.512,NA
1311.037,638.963,NA
1283.907,666.093,NA
1257.093,692.907,NA
1230.595,719.405,NA
1204.409,745.591,0.069
1178.533,771.467,NA
1152.965,797.035,NA
1127.702,822.298,NA
1102.742,847.258,0.063
1078.083,871.917,NA
1053.721,896.279,NA
1029.655,920.345,NA
1005.883,944.117,NA
982.401,967.599,NA
959.208,990.792,0.038
936.3,1013.7,NA
913.677,1036.323,NA
891.334,1058.666,NA
869.271,1080.729,0.068
847.483,1102.517,NA
825.97,1124.03,NA
804.729,1145.271,NA
783.756,1166.244,NA
763.051,1186.949,NA
742.61,1207.39,0.051
722.43,1227.57,NA
702.511,1247.489,NA
682.848,1267.152,NA
663.441,1286.559,0.077
644.285,1305.715,NA
625.38,1324.62,NA
606.722,1343.278,NA
588.31,1361.69,NA
570.14,1379.86,NA
552.21,1397.79,0.053
534.519,1415.481,NA
517.063,1432.937,NA
499.84,1450.16,NA
482.848,1467.152,0.082
466.084,1483.916,NA
449.546,1500.454,NA
433.231,1516.769,NA
417.138,1532.862,NA
401.263,1548.737,NA
385.605,1564.395,NA
370.161,1579.839,NA
354.928,1595.072,NA
339.904,1610.096,NA
325.087,1624.913,0.109
310.474,1639.526,NA
296.063,1653.937,NA
281.851,1668.149,NA
267.837,1682.163,NA
254.017,1695.983,NA
240.389,1709.611,0.076
226.951,1723.049,NA
213.701,1736.299,NA
200.636,1749.364,NA
187.753,1762.247,0.116
175.051,1774.949,NA
162.526,1787.474,NA
150.177,1799.823,NA
138,1812,NA
125.995,1824.005,NA
114.157,1835.843,0.136
102.486,1847.514,NA
90.978,1859.022,NA
79.63,1870.37,NA
68.442,1881.558,0.211
57.409,1892.591,NA
46.531,1903.469,NA
35.803,1914.197,NA
25.225,1924.775,NA
14.793,1935.207,NA
4.506,1945.494,0.161
-5.64,1955.64,NA
-15.647,1965.647,NA
-25.516,1975.516,NA
-35.251,1985.251,0.135
-44.854,1994.854,NA
-54.328,2004.328,NA
-63.674,2013.674,NA
-72.895,2022.895,NA
-81.993,2031.993,NA
-90.971,2040.971,0.125
-99.832,2049.832,NA
-108.577,2058.577,NA
-117.21,2067.21,NA
-125.732,2075.732,0.172
-134.146,2084.146,NA
-142.454,2092.454,NA
-150.659,2100.659,NA
-158.763,2108.763,NA
-166.769,2116.769,NA
-174.678,2124.678,0.196
-182.494,2132.494,NA
-190.219,2140.219,NA
-197.855,2147.855,NA
-205.404,2155.404,0.194
-212.869,2162.869,NA
-220.253,2170.253,NA
-227.557,2177.557,NA
-234.785,2184.785,NA
-241.938,2191.938,NA
-249.02,2199.02,0.177
-256.031,2206.031,NA
-262.976,2212.976,NA
-269.855,2219.855,NA
-276.672,2226.672,0.16
-283.43,2233.43,NA
-290.129,2240.129,NA
-296.774,2246.774,NA
-303.366,2253.366,NA
-309.907,2259.907,NA
-316.4,2266.4,0.187
-322.848,2272.848,NA
-329.253,2279.253,NA
-335.617,2285.617,NA
-341.942,2291.942,0.163
-348.232,2298.232,NA
-354.488,2304.488,NA
-360.713,2310.713,NA
-366.909,2316.909,NA
-373.079,2323.079,NA
-379.225,2329.225,0.138
-385.35,2335.35,NA
-391.455,2341.455,NA
-397.544,2347.544,NA
-403.618,2353.618,0.208
-409.681,2359.681,NA
-415.734,2365.734,NA
-421.78,2371.78,NA
-427.821,2377.821,NA
-433.86,2383.86,NA
-439.899,2389.899,0.287
-445.941,2395.941,NA
-451.987,2401.987,NA
-458.041,2408.041,NA
-464.105,2414.105,0.25
-470.181,2420.181,NA
-476.271,2426.271,NA
-482.379,2432.379,NA
-488.505,2438.505,NA
-494.654,2444.654,NA
-500.827,2450.827,0.271
-507.026,2457.026,NA
-513.254,2463.254,NA
-519.514,2469.514,NA
-525.807,2475.807,0.223
-532.137,2482.137,NA
