depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [1-2],temperature (degC) [1-2],age (BP) [2-1],temperature (degC) [2-1],age (BP) [2-2],temperature (degC) [2-2]
0,-48,9.336,9861.2,-0.982,-48,7.311,9861.2,-0.982
8,156.94,9.15,9678.04,0.41,156.94,8.19,9678.04,0.41
12,259.41,9.708,9494.88,2.399,259.41,8.282,9494.88,2.399
16,361.88,8.977,9311.72,2.142,361.88,8.486,9311.72,2.142
20,464.35,9.48,9128.56,1.366,464.35,8.806,9128.56,1.366
24,566.82,9.484,8945.4,1.318,566.82,8.493,8945.4,1.318
28,669.29,9.004,8762.24,1.18,669.29,9.473,8762.24,1.18
32,771.76,9.437,8579.08,0.655,771.76,9.312,8579.08,0.655
36,874.23,8.449,8395.92,0.17,874.23,8.835,8395.92,0.17
40,976.7,8.433,8212.76,NA,976.7,9.279,8212.76,NA
44,1079.17,9.012,8029.6,0.675,1079.17,9.373,8029.6,0.675
48,1181.63,9.162,7846.44,0.598,1181.63,9.01,7846.44,0.598
52,1284.1,9.172,7663.28,NA,1284.1,9.078,7663.28,NA
56,1386.57,9.074,7480.12,0.406,1386.57,8.803,7480.12,0.406
60,1539.47,9.187,7296.96,NA,1539.47,9.193,7296.96,NA
64,1722.63,9.781,7113.8,0.057,1722.63,9.068,7113.8,0.057
68,1905.79,9.117,6930.64,NA,1905.79,9.919,6930.64,NA
72,2088.95,8.533,6747.48,-0.073,2088.95,9.049,6747.48,-0.073
76,2272.11,9.491,6564.32,NA,2272.11,8.716,6564.32,NA
80,2469.45,9.347,6381.16,0.411,2469.45,9.644,6381.16,0.411
84,2668.83,9.204,6198,0.133,2668.83,9.183,6198,0.133
88,2868.2,8.709,6014.84,NA,2868.2,8.752,6014.84,NA
92,3067.58,8.254,5831.68,0.509,3067.58,9.616,5831.68,0.509
96,3266.95,8.938,5648.52,NA,3266.95,9.38,5648.52,NA
100,3466.33,8.701,5465.36,-0.162,3466.33,9.729,5465.36,-0.162
104,3665.7,9.002,5282.2,NA,3665.7,9.905,5282.2,NA
108,3865.08,8.794,5099.04,0.498,3865.08,9.379,5099.04,0.498
112,4175.83,9.624,4915.88,-0.164,4175.83,9.597,4915.88,-0.164
116,4502.5,9.6,4732.72,NA,4502.5,9.4,4732.72,NA
120,4829.17,9.805,4549.56,-0.203,4829.17,9.272,4549.56,-0.203
124,5155.83,10.384,4366.4,NA,5155.83,10.018,4366.4,NA
128,5482.5,9.418,4183.24,-0.092,5482.5,9.662,4183.24,-0.092
132,5809.17,10.374,4000.08,NA,5809.17,10.049,4000.08,NA
136,6135.83,9.986,3816.92,-0.616,6135.83,9.687,3816.92,-0.616
140,6462.5,10.569,3633.76,-0.249,6462.5,9.658,3633.76,-0.249
144,6789.17,10.293,3450.6,-0.488,6789.17,8.967,3450.6,-0.488
148,7115.83,9.791,3267.44,-0.544,7115.83,9.729,3267.44,-0.544
152,7442.5,10.474,3084.28,-0.768,7442.5,9.744,3084.28,-0.768
156,7769.17,10.758,2901.12,-0.972,7769.17,9.844,2901.12,-0.972
160,8095.83,10.424,2717.96,-0.509,8095.83,10.332,2717.96,-0.509
164,8339.67,10.226,2534.8,-0.207,8339.67,9.652,2534.8,-0.207
168,8445.44,9.551,2351.64,-0.6,8445.44,10.062,2351.64,-0.6
172,8551.22,10.824,2168.48,-0.911,8551.22,9.792,2168.48,-0.911
176,8657,10.278,1985.32,-0.185,8657,10.538,1985.32,-0.185
180,8762.78,11.191,1802.16,-0.278,8762.78,10.528,1802.16,-0.278
183,8842.11,10.918,1619,-0.513,8802.445,10.671,1619,-0.513
187,8947.89,11.214,1435.84,-0.764,8842.11,10.932,1435.84,-0.764
191,9053.67,11.418,1252.68,-0.597,8895,10.438,1252.68,-0.597
195,9159.44,11.629,1069.52,-0.51,8947.89,11.2,1069.52,-0.51
199,9265.22,13.109,886.36,-0.954,9000.78,10.846,886.36,-0.954
203,9371,12.869,703.2,-0.396,9053.67,10.993,703.2,-0.396
207,9476.78,13.106,520.04,-0.637,9106.555,10.45,520.04,-0.637
NA,NA,NA,336.88,-0.84,9159.44,10.38,336.88,-0.84
NA,NA,NA,NA,NA,9212.33,10.632,NA,NA
NA,NA,NA,NA,NA,9265.22,10.877,NA,NA
NA,NA,NA,NA,NA,9318.11,10.496,NA,NA
NA,NA,NA,NA,NA,9371,10.725,NA,NA
NA,NA,NA,NA,NA,9423.89,11.216,NA,NA
NA,NA,NA,NA,NA,9476.78,11.091,NA,NA
NA,NA,NA,NA,NA,9529.67,11.341,NA,NA
NA,NA,NA,NA,NA,9582.56,10.742,NA,NA
NA,NA,NA,NA,NA,9635.445,10.1,NA,NA
NA,NA,NA,NA,NA,9688.33,10.085,NA,NA
NA,NA,NA,NA,NA,9741.22,9.816,NA,NA
NA,NA,NA,NA,NA,9794.11,9.403,NA,NA
NA,NA,NA,NA,NA,9847,9.383,NA,NA
NA,NA,NA,NA,NA,9899.89,7.675,NA,NA
NA,NA,NA,NA,NA,9952.78,7.971,NA,NA
NA,NA,NA,NA,NA,10005.67,6.548,NA,NA
NA,NA,NA,NA,NA,10058.821,9.752,NA,NA
NA,NA,NA,NA,NA,10085,9.948,NA,NA
NA,NA,NA,NA,NA,10137.89,8.368,NA,NA
NA,NA,NA,NA,NA,10190.78,6.762,NA,NA
NA,NA,NA,NA,NA,10243.67,8.671,NA,NA
NA,NA,NA,NA,NA,10270.11,8.842,NA,NA
