depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,105,18.643,-12.043,4.126,847
10,154,18.786,-12.4,4.082,817.429
25,231,19.014,-12.171,4.304,811.571
50,370,18.786,-12.4,4.082,817.429
75,522,18.786,-12.4,4.082,817.429
100,687,18.786,-12.4,4.082,817.429
125,865,18.786,-12.4,4.082,817.429
150,1056,18.786,-12.4,4.082,817.429
175,1260,18.957,-12.214,4.25,814.571
200,1477,18.457,-12.586,3.743,871.571
225,1706,18.971,-12.186,4.261,811.286
250,1949,18.657,-12.043,4.138,849.714
275,2205,19.186,-11.986,4.471,808.714
300,2474,19.2,-11.914,4.507,807.857
325,2756,19.186,-11.986,4.471,808.714
350,3051,19.2,-11.914,4.507,807.857
375,3359,19.886,-11.243,5.192,789.857
400,3680,19.657,-11.443,4.975,801.429
425,4013,19.929,-11.186,5.236,788.857
450,4360,20.057,-11.114,5.35,786.429
475,4720,19.671,-11.471,4.971,793.286
500,5093,19.8,-11.743,4.927,792.286
525,5479,19.671,-11.457,4.983,801.571
550,5877,19.9,-11.214,5.214,796
575,6289,20.271,-11.271,5.399,775
600,6714,19.714,-12.829,4.535,758.714
625,7152,19.914,-12.1,4.894,771.143
650,7603,19.957,-12.6,4.771,753.714
675,8066,19.729,-12.857,4.53,756.857
700,8543,19.143,-13.5,3.943,768.143
725,9033,19.214,-12.914,4.212,784.429
750,9536,18.543,-12.629,3.838,814.571
775,10051,18.414,-13.557,3.485,794.571
800,10580,18.557,-13.314,3.642,799
830,11232,NA,NA,NA,NA
