depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
26,Carbon-14,111042,60,2340,plant fragment,NA
33,Carbon-14,111043,60,2970,charcoal,NA
40,Carbon-14,111044,70,7200,charcoal and wood,NA
54,Carbon-14,111045,180,10120,bulk sediment,NA
