depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
226.5,Carbon-14,108730,70,1200,peat,NA
481.5,Carbon-14,108731,70,4130,herbaceous detritus gyttja,NA
746.5,Carbon-14,108732,80,8410,clay gyttja,NA
858.5,Carbon-14,108733,100,9540,fine gyttja,NA
