depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-5,11.957,-10.786,0.37,647.143
5,247,13.729,-9.357,1.937,556.571
13,590,10.871,-11.286,-0.512,671.857
19,808,15.157,-9.429,2.883,541.571
25,1119,13,-9.614,1.437,633.714
31,1387,11.471,-10.657,0.087,663.714
37,1720,10.586,-11.929,-0.882,676.571
45,2200,10.786,-11.5,-0.618,617.571
51,2597,14.214,-10.014,1.973,552.429
53,2729,11.371,-11.214,-0.163,654.286
59,3089,11.214,-11.557,-0.373,652.571
65,3460,12.029,-10.829,0.423,608.714
73,3888,11.786,-10.9,0.221,651.571
79,4265,11.814,-10.629,0.325,658.429
83,4495,11.286,-11.229,-0.215,662
87,4774,11.386,-11.029,-0.042,629.857
101,5557,11.043,-11.429,-0.436,661.143
107,5821,11.429,-10.871,0.013,636.143
115,6236,11.371,-11.214,-0.167,654.714
121,6469,9.114,-18.314,-5.521,671.714
129,6881,11.429,-10.9,-0.014,662
135,7236,11.286,-11.229,-0.215,662
143,7510,11.343,-10.914,-0.061,666.143
157,7996,11.086,-11,-0.239,682.571
171,8496,12.2,-10.057,0.843,598.143
185,8649,10.943,-11.257,-0.386,646.714
191,8767,13.471,-9.257,1.861,628.571
197,8928,12.486,-10.129,1.086,606.429
201,8987,12.486,-10.386,1.006,600
207,9061,10.943,-11.571,-0.526,631.571
215,9168,11.557,-11.029,0.035,655.714
