year (AD),age (BP),d18O (permil (VPBD))
1963.3,-13.3,-7.95
1948.298,1.702,-9.448
1933.297,16.703,-9.882
1918.295,31.705,-7.968
1903.294,46.706,-6.472
1888.292,61.708,-6.448
1873.291,76.709,-6.444
1858.289,91.711,-6.372
1843.288,106.712,-6.345
1828.286,121.714,-6.416
1813.285,136.715,-6.509
1798.283,151.717,-6.336
1783.282,166.718,-6.067
1768.28,181.72,-5.915
1753.279,196.721,-5.842
1738.277,211.723,-5.755
1723.275,226.725,-5.786
1708.274,241.726,-5.843
1693.272,256.728,-5.88
1678.271,271.729,-5.88
1663.269,286.731,-5.988
1648.268,301.732,-6.108
1633.266,316.734,-6.145
1618.265,331.735,-6.188
1603.263,346.737,-6.235
1588.262,361.738,-6.282
1573.26,376.74,-6.33
1558.259,391.741,-6.377
1543.257,406.743,-6.424
1528.255,421.745,-6.471
1513.254,436.746,-6.518
1498.252,451.748,-6.565
1483.251,466.749,-6.531
1468.249,481.751,-6.441
1453.248,496.752,-6.307
1438.246,511.754,-6.253
1423.245,526.755,-6.137
1408.243,541.757,-5.946
1393.242,556.758,-6.156
1378.24,571.76,-6.453
1363.239,586.761,-6.769
1348.237,601.763,-6.883
1333.236,616.764,-6.997
1318.234,631.766,-7.111
1303.232,646.768,-7.225
1288.231,661.769,-7.156
1273.229,676.771,-6.977
1258.228,691.772,-6.691
1243.226,706.774,-6.416
1228.225,721.775,-6.471
1213.223,736.777,-6.687
1198.222,751.778,-6.482
1183.22,766.78,-6.419
1168.219,781.781,-6.41
1153.217,796.783,-6.41
1138.216,811.784,-6.396
1123.214,826.786,-6.25
1108.213,841.787,-6.047
1093.211,856.789,-6.033
1078.209,871.791,-6.104
1063.208,886.792,-6.139
1048.206,901.794,-6.12
1033.205,916.795,-6.12
1018.203,931.797,-6.231
1003.202,946.798,-6.188
988.2,961.8,-5.996
973.199,976.801,-5.926
958.197,991.803,-5.927
943.2,1006.8,-5.862
928.19,1021.81,-5.806
913.19,1036.81,-5.852
898.19,1051.81,-6.048
883.19,1066.81,-5.92
868.19,1081.81,-5.831
853.19,1096.81,-5.952
838.18,1111.82,-6.225
823.18,1126.82,-6.454
808.18,1141.82,-6.55
793.18,1156.82,-6.388
778.18,1171.82,-6.227
763.18,1186.82,-6.065
748.18,1201.82,-5.967
733.17,1216.83,-5.892
718.17,1231.83,-5.817
703.17,1246.83,-5.863
688.17,1261.83,-5.901
673.17,1276.83,-6.13
658.17,1291.83,-6.444
643.16,1306.84,-6.235
628.16,1321.84,-6.114
613.16,1336.84,-6.156
598.16,1351.84,-6.112
583.16,1366.84,-6.017
568.16,1381.84,-5.923
553.16,1396.84,-5.956
538.15,1411.85,-6.062
523.15,1426.85,-6.02
508.15,1441.85,-5.994
493.15,1456.85,-5.992
478.15,1471.85,-6.013
463.15,1486.85,-6.035
448.14,1501.86,-6.025
433.14,1516.86,-6.015
418.14,1531.86,-6.106
403.14,1546.86,-6.147
388.14,1561.86,-6.081
373.14,1576.86,-6.262
358.14,1591.86,-6.559
343.13,1606.87,-6.771
328.13,1621.87,-6.662
313.13,1636.87,-5.922
298.13,1651.87,-5.815
283.13,1666.87,-5.917
268.13,1681.87,-5.845
253.13,1696.87,-5.811
238.12,1711.88,-5.758
223.12,1726.88,-5.834
208.12,1741.88,-6.02
193.12,1756.88,-5.999
178.12,1771.88,-5.898
163.12,1786.88,-6.217
148.11,1801.89,-6.1
133.11,1816.89,-5.782
118.11,1831.89,-5.816
103.11,1846.89,-5.909
88.11,1861.89,-5.97
73.11,1876.89,-6.099
58.11,1891.89,-5.895
43.1,1906.9,-5.931
28.1,1921.9,-5.986
13.1,1936.9,-6.164
-1.9,1951.9,-6.267
-16.9,1966.9,-6.521
-31.9,1981.9,-6.471
-46.91,1996.91,-6.371
-61.91,2011.91,-6.294
-76.91,2026.91,-5.878
-91.91,2041.91,-5.936
-106.91,2056.91,-6.068
-121.91,2071.91,-6.376
-136.91,2086.91,-6.193
-151.92,2101.92,-6.044
-166.92,2116.92,-6.067
-181.92,2131.92,-6.112
-196.92,2146.92,-6.195
-211.92,2161.92,-6.123
-226.92,2176.92,-6.17
-241.93,2191.93,-6.429
-256.93,2206.93,-6.131
-271.93,2221.93,-6.206
-286.93,2236.93,-6.298
-301.93,2251.93,-6.383
-316.93,2266.93,-6.467
-331.93,2281.93,-6.454
-346.94,2296.94,-6.351
-361.94,2311.94,-6.235
-376.94,2326.94,-6.118
-391.94,2341.94,-6.143
-406.94,2356.94,-6.422
-421.94,2371.94,-6.59
-436.95,2386.95,-6.543
-451.95,2401.95,-6.548
-466.95,2416.95,-6.371
-481.95,2431.95,-6.067
-496.95,2446.95,-6.272
-511.95,2461.95,-6.476
-526.95,2476.95,-6.699
-541.96,2491.96,-6.957
-556.96,2506.96,-6.936
-571.96,2521.96,-6.884
-586.96,2536.96,-6.521
-601.96,2551.96,-6.69
-616.96,2566.96,-6.774
-631.97,2581.97,-6.37
-646.97,2596.97,-6.392
-661.97,2611.97,-6.238
-676.97,2626.97,-6.328
-691.97,2641.97,-6.405
-706.97,2656.97,-6.619
-721.97,2671.97,-6.65
-736.98,2686.98,-6.676
-751.98,2701.98,-6.566
-766.98,2716.98,-6.318
-781.98,2731.98,-6.12
-796.98,2746.98,-5.966
-811.98,2761.98,-5.806
-826.99,2776.99,-5.777
-841.99,2791.99,-5.94
-856.99,2806.99,-6.068
-871.99,2821.99,-6.145
-886.99,2836.99,-6.302
-901.99,2851.99,-6.757
-916.99,2866.99,-6.747
-932,2882,-6.43
-947,2897,-6.162
-962,2912,-6.34
-977,2927,-6.22
-992,2942,-6.248
-1007,2957,-6.303
-1022.01,2972.01,-6.674
-1037.01,2987.01,-6.413
-1052.01,3002.01,-6.34
-1067.01,3017.01,-6.369
-1082.01,3032.01,-6.401
-1097.01,3047.01,-6.43
-1112.01,3062.01,-6.327
-1127.02,3077.02,-6.001
