age (Calibrated),temperature (degC)
255.905,9.802
588.582,10.527
882.874,10.396
1189.96,10.462
1688.976,9.978
2251.967,10.374
4580.706,12.22
5322.832,11.956
6128.934,11.121
6845.469,11.231
7421.256,11.341
7677.162,11.56
8022.634,11.846
8380.901,11.956
8713.578,12.022
9187.003,12.813
9788.381,11.407
10735.231,11.341
11694.876,11.209
12641.726,8.593
