depth (cm),age (yr bp),error (yr),type (unitless),material (unitless),rejected (unitless)
0,5250,100,AMS14C,G. ruber,X
16,1650,40,AMS14C,G. ruber,X
55,1150,40,AMS14C,G. ruber,NA
135,2210,40,AMS14C,G. ruber,NA
213,3210,40,AMS14C,G. ruber,NA
260,3910,90,AMS14C,G. ruber,NA
320,4740,110,AMS14C,G. ruber,NA
460,7500,110,AMS14C,G. ruber,NA
560,10340,120,AMS14C,G. ruber,NA
600,11430,130,AMS14C,G. ruber,NA
620,12100,130,AMS14C,G. ruber,NA
640,13040,150,AMS14C,G. ruber,NA
656,13590,140,AMS14C,G. ruber,NA
664,14050,120,AMS14C,G. ruber,NA
674,14360,140,AMS14C,G. ruber,NA
680,15080,160,AMS14C,G. ruber,NA
690,15660,130,AMS14C,G. ruber,NA
698,16030,140,AMS14C,G. ruber,NA
740,19780,170,AMS14C,G. ruber,NA
774,22330,220,AMS14C,G. ruber,NA
