depth (cm),age (BP),diatom_concentration (mill/g),C (missing),N (missing),C (missing),C (missing),C (missing),C (missing)
0.5,61.76,889.912,13.902,17.383,-1.338,2.325,-0.967,0.422
4.5,555.82,647.712,8.611,15.725,-1.342,3.124,-0.572,-0.556
6.5,802.86,615.597,13.9,10.322,-0.959,0.155,-0.705,0.332
8.5,1049.89,936.539,9.459,7.688,-1.055,0.145,0.452,-0.099
12.5,1543.96,1089.147,10.811,9.623,-1.142,0.505,-0.725,0.179
16.5,2038.02,1487.174,7.93,6.333,-0.976,-0.724,-0.233,-0.183
20.5,2532.09,1632.69,9.475,5.625,-1.023,-0.158,0.101,-0.468
24.5,2924.03,2348.805,7.243,7.005,-0.896,-0.631,0.286,-0.024
28.5,3184.66,2120.316,7.908,5.784,-0.952,-0.692,0.438,0.363
32.5,3445.29,1688.656,3.604,5.171,-0.794,-1.326,0.11,-0.035
36.5,3705.92,1833.977,2.286,5.662,-0.905,-0.479,0.614,-0.051
40.5,3966.55,1363.29,5.624,5.085,-0.668,-1.024,0.168,-0.461
44.5,4402.9,933.988,0.69,7.413,-0.653,-0.716,-0.061,0.275
48.5,4919.13,1818.537,3.32,4.994,-0.431,-1.261,0.585,-0.487
52.5,5435.35,1538.462,5.405,6.558,-0.235,-0.671,0.915,0.109
56.5,5951.57,698.756,5.893,6.133,0.355,-0.713,0.515,0.985
60.5,6560.7,982.587,3.265,5.324,0.544,-0.396,-0.25,-0.198
64.5,7572.45,348.839,2.592,3.721,0.849,-0.753,-1.268,-0.28
68.5,8584.2,797.448,2.135,3.606,1.048,-0.528,-0.824,0.009
72.5,9595.95,296.141,0.73,4.274,1.111,-0.53,-1.95,1.258
76.5,10466.11,342.217,1.739,4.231,1.229,0.268,-1.354,1.55
80.5,10722.7,108.392,0,4.27,1.451,0.341,-2.058,0.127
84.5,10979.28,27.81,1.961,4.098,1.239,0.824,0.865,-1.03
88.5,11235.87,86.514,1.951,2.85,1.123,0.06,0.615,-0.804
92.5,11492.45,36.824,3.614,3.196,1.173,0.174,0.843,-1.366
96.5,11749.43,150.291,1.061,3.509,1.162,0.414,0.253,-2.521
100.5,12012.37,34.381,5.021,3.659,1.136,1.339,1.693,-0.404
104.5,12275.3,3.139,25,4.902,0.949,0.928,2.514,3.355
108.5,12538.23,1.254,28.571,6.667,NA,NA,NA,NA
110.5,12669.7,0.117,0,4.571,NA,NA,NA,NA
