age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),lab_id (),material_dated ()
-39,0,0,0,NA,NA,0,2,NA,NA
NA,11.5,110,120,322,32,10,1,5,1
NA,37.5,370,380,700,70,10,1,4,1
NA,95,945,955,2570,70,10,1,3,1
NA,155,1545,1555,4470,80,10,1,2,1
NA,209,2070,2110,6380,100,40,1,1,1
