Reference (unitless),SiteName (unitless),CoreID (unitless),LabID (unitless),TypeOfMaterialDated (unitless),AverageSampleDepth_cm_ (unitless),x238U_ppb_ (unitless),x238UError (unitless),x232Th_ppt_ (unitless),x232ThError (unitless),x230Th_232Th_atomicX10_6_ (unitless),x230Th_232ThError_atomicX10_6_ (unitless),d234U_Measured (unitless),d234U_Error (unitless),x230Th_238UActivity (unitless),x230Th_238UActivityError (unitless),x230ThAgeUncorrected_yr_ (unitless),x230ThAgeUncorrectedError_yr_ (unitless),x230ThAgeCorrected_yr_ (unitless),x230ThAgeCorrectedError_yr_ (unitless),d234UInitial_Corrected (unitless),d234UInitial_CorrectedError (unitless),x230ThAge_B1950___Corrected (unitless),x230ThAge__CorrectedError (unitless)
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2222,Oregon Caves,OCNM,OCNM02-1-4,stalagmite carbonate,0.3,90.9,<U+FFFD>0.1,190,<U+FFFD>23,53,<U+FFFD>7,105.5,<U+FFFD>2,0.007,<U+FFFD>0.00048,664,<U+FFFD>48,514,<U+FFFD>74,105.6,<U+FFFD>2,460,<U+FFFD>70
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2223,Oregon Caves,OCNM,OCNM02-0.85,stalagmite carbonate,0.75,108,<U+FFFD>0.4,288,<U+FFFD>23,66,<U+FFFD>6,105.3,<U+FFFD>3,0.011,<U+FFFD>0.00054,1057,<U+FFFD>53,866,<U+FFFD>73,105.6,<U+FFFD>3,810,<U+FFFD>70
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2224,Oregon Caves,OCNM,OCNM02-01-1.0,stalagmite carbonate,1,91,<U+FFFD>0.2,359,<U+FFFD>7,49,<U+FFFD>4,102.2,<U+FFFD>2,0.012,<U+FFFD>0.00083,1159,<U+FFFD>83,870,<U+FFFD>130,102.5,<U+FFFD>2,820,<U+FFFD>130
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2225,Oregon Caves,OCNM,OCNM02-1.8,stalagmite carbonate,1.45,101.9,<U+FFFD>0.2,193,<U+FFFD>22,140,<U+FFFD>17,100.9,<U+FFFD>2,0.016,<U+FFFD>0.00059,1608,<U+FFFD>59,1471,<U+FFFD>70,101.3,<U+FFFD>2,1420,<U+FFFD>70
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2226,Oregon Caves,OCNM,OCNM02-2.95,stalagmite carbonate,2.3,118.7,<U+FFFD>0.2,1192,<U+FFFD>24,52,<U+FFFD>1,91.1,<U+FFFD>3,0.031,<U+FFFD>0.00065,3181,<U+FFFD>67,2448,<U+FFFD>200,91.8,<U+FFFD>3,2390,<U+FFFD>200
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2227,Oregon Caves,OCNM,OCNM02-01-2.8,stalagmite carbonate,2.8,81.1,<U+FFFD>0.2,287,<U+FFFD>6,146,<U+FFFD>4,91.4,<U+FFFD>2,0.031,<U+FFFD>0.00065,3174,<U+FFFD>67,2916,<U+FFFD>110,92.1,<U+FFFD>2,2860,<U+FFFD>110
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2228,Oregon Caves,OCNM,OCNM02-01-3.25,stalagmite carbonate,3.25,100.3,<U+FFFD>0.2,480,<U+FFFD>10,125,<U+FFFD>3,91.8,<U+FFFD>2,0.036,<U+FFFD>0.00050,3692,<U+FFFD>52,3343,<U+FFFD>130,92.7,<U+FFFD>2,3290,<U+FFFD>130
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2229,Oregon Caves,OCNM,OCNM02-3.5,stalagmite carbonate,3.8,128.5,<U+FFFD>0.2,872,<U+FFFD>23,106,<U+FFFD>3,92.3,<U+FFFD>2,0.043,<U+FFFD>0.00073,4421,<U+FFFD>76,3928,<U+FFFD>150,93.3,<U+FFFD>2,3870,<U+FFFD>150
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2230,Oregon Caves,OCNM,OCNM02-4.7,stalagmite carbonate,4.4,67.3,<U+FFFD>0.1,792,<U+FFFD>24,72,<U+FFFD>3,94.7,<U+FFFD>2,0.051,<U+FFFD>0.0013,5230,<U+FFFD>140,4372,<U+FFFD>260,95.8,<U+FFFD>2,4320,<U+FFFD>260
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2231,Oregon Caves,OCNM,OCNM02-01-5.0,stalagmite carbonate,5,60.4,<U+FFFD>0.1,528,<U+FFFD>11,95,<U+FFFD>2,88.5,<U+FFFD>2,0.05,<U+FFFD>0.00063,5149,<U+FFFD>67,4512,<U+FFFD>240,89.6,<U+FFFD>2,4450,<U+FFFD>240
