age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (unitless),material_dated (unitless),note (unitless)
0,0,0,0,NA,NA,NA,NA,0,3,NA,NA
NA,39.75,395,400,1360,160,1550,940,5,1,2,NA
NA,40.5,400,410,1535,65,1540,1300,10,2,1,NA
NA,NA,700,NA,1700,160,1810,1400,NA,1,2,NA
NA,70.5,700,710,2150,70,2330,1940,10,2,1,1
NA,107.5,1070,1080,3265,65,3630,3360,10,2,1,NA
NA,NA,1430,NA,3835,70,4420,3990,NA,1,2,NA
NA,175.5,1750,1760,5300,75,6280,5910,10,2,1,NA
NA,210.5,2100,2110,6800,70,7700,7480,10,2,1,NA
NA,230.5,2300,2310,8620,80,9850,9440,10,2,1,1
NA,NA,2310,NA,7615,110,8560,8130,NA,1,2,NA
NA,NA,2440,NA,8135,75,9360,8730,NA,1,2,NA
