depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm/yr)
22,362.8,15.057,-0.943,6.431,1671.857
32,527.8,15.829,-0.286,7.149,1479.286
52,857.6,14.943,-0.457,6.706,1150.286
72,1187.5,15.571,-0.986,6.654,1362.857
90,1484.3,14.414,-2.6,5.087,1100.429
122,2012.1,15.2,-0.557,6.665,1269.857
132,2177,15.329,-1.129,6.582,1316
142,2341.9,13.243,-5.343,3.081,1160.714
152,2506.8,9.886,-6.671,0.794,1517.714
162,2671.8,13.243,-5.343,3.081,1160.714
172,2836.7,14.929,-0.643,6.457,1650.571
182,3034.7,14.586,-1.757,5.858,1453.571
192,3530.6,14.414,-2.229,5.524,1516.286
206,4224.9,14.6,-1.429,5.888,1546.429
215,4671.2,14.557,-0.343,6.339,1312.286
235,5663,14.657,-1.043,6.07,1446
245,5868.8,14.557,-0.786,6.114,1377.286
255,6074.6,14.129,-2.357,5.133,1434.571
265,6280.4,14.443,-0.214,6.264,1363.429
275,6486.2,14.671,-0.243,6.502,1464.714
285,6692,14.143,-1.229,5.7,1574.714
296,6918.4,14.686,0.229,6.61,1358
306,7124.3,15.214,0.257,6.982,1262.286
316,7330.1,14.771,-0.629,6.307,1355.429
326,7535.9,14.171,-0.314,6.189,1470.571
340,7768.6,14.786,0.629,6.865,1311
350,7895.3,15.457,1.743,7.946,1324.857
390,8402,13.929,-1.329,5.485,1488
410,8655.3,14.443,0.286,6.692,1620.286
450,9162,14.5,-0.186,6.489,1581.143
470,9415.4,14.7,0.471,6.793,1391.143
490,9668.7,14.329,-0.286,6.276,1516.714
500,9795.4,15.314,1.829,7.938,1634.143
510,9933.7,14.329,-0.286,6.276,1516.714
530,10233.7,14.171,-0.314,6.189,1470.571
550,10533.7,14.157,-2.6,4.994,1375.286
590,11133.7,NA,NA,NA,NA
610,11579.1,NA,NA,NA,NA
630,12073,NA,NA,NA,NA
650,12566.9,NA,NA,NA,NA
660,12813.8,NA,NA,NA,NA
680,13307.7,NA,NA,NA,NA
690,13554.6,NA,NA,NA,NA
710,14048.5,NA,NA,NA,NA
720,14295.4,NA,NA,NA,NA
730,14542.3,NA,NA,NA,NA
750,15036.2,NA,NA,NA,NA
775,15653.5,NA,NA,NA,NA
780,15777,NA,NA,NA,NA
790,16023.9,NA,NA,NA,NA
