depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
0,Carbon-14,110471,100,1444,NA,NA
58,Carbon-14,110472,95,3570,NA,NA
104,Carbon-14,110473,100,4670,NA,NA
191,Carbon-14,110474,150,6395,NA,NA
354,Carbon-14,110475,160,6325,NA,NA
454,Carbon-14,110476,175,6030,NA,NA
554,Carbon-14,110477,180,6395,NA,NA
654,Carbon-14,110478,165,7385,NA,NA
776,Carbon-14,110479,180,11945,NA,NA
