depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
41,Carbon-14,110224,80,3530,gyttja,NA
74.5,Carbon-14,110225,80,3900,gyttja,NA
125,Carbon-14,110226,100,4920,gyttja,NA
157.5,Carbon-14,110227,100,5610,gyttja/silt-clay,NA
