year (AD),age (BP),depth (mm),SM/IlliteChlorite (missing)
2007,-57,0,1.754
1999,-49,2,1.628
1991,-41,4,1.664
1983,-33,6,1.741
1975,-25,8,1.919
1966,-16,10,1.785
1957,-7,12,1.438
1948,2,14,1.556
1939,11,16,2.24
1931,19,18,2.252
1923,27,20,1.599
1916,34,22,2.086
1910,40,24,1.595
1905,45,26,1.934
1900,50,28,1.872
1896,54,30,2.335
1892,58,32,1.501
1888,62,34,1.187
1884,66,36,1.112
1881,69,38,1.598
1877,73,40,1.539
1873,77,42,1.499
1869,81,44,0.477
1865,85,46,1.302
1861,89,48,0.984
1857,93,50,0.959
1852,98,52,0.524
1847,103,54,0.525
1842,108,56,0.741
1837,113,58,0.298
1831,119,60,0.743
1825,125,62,0.709
1819,131,64,0.383
1813,137,66,0.889
1807,143,68,1.215
1800,150,70,1.23
1794,156,72,2.137
1788,162,74,1.592
1782,168,76,1.466
1776,174,78,1.489
1770,180,80,1.423
1764,186,82,1.625
1759,191,84,1.338
1753,197,86,2.082
1747,203,88,2.124
1738,212,90,1.589
1727,223,92,1.532
1713,237,94,1.177
1696,254,96,0.867
1677,273,98,0.977
1656,294,100,0.973
1632,318,102,0.6
1607,343,104,0.807
1581,369,106,0.973
1553,397,108,0.599
1525,425,110,1.43
1496,454,112,1.74
1467,483,114,2.002
1437,513,116,1.569
1408,542,118,1.653
1379,571,120,0.956
1352,598,122,2.309
1325,625,124,2.558
1299,651,126,2.65
1275,675,128,2.033
1253,697,130,1.657
1232,718,132,1.523
1212,738,134,2.193
1194,756,136,1.791
1177,773,138,2.034
1162,788,140,2.361
1147,803,142,2.027
1133,817,144,1.79
1121,829,146,1.94
1109,841,148,2.136
1098,852,150,2.511
1087,863,152,2.936
1078,872,154,3.506
1068,882,156,2.401
1059,891,158,2.826
1050,900,160,3.01
1042,908,162,1.835
1033,917,164,2.522
1025,925,166,2.144
1017,933,168,1.836
1008,942,170,1.678
999,951,172,1.711
990,960,174,2.543
980,970,176,2.332
970,980,178,2.363
960,990,180,1.668
949,1001,182,2.453
937,1013,184,2.169
926,1024,186,2.892
913,1037,188,2.158
900,1050,190,2.369
887,1063,192,3.028
873,1077,194,1.62
858,1092,196,1.723
843,1107,198,1.471
827,1123,200,1.221
811,1139,202,1.883
794,1156,204,1.232
776,1174,206,1.31
757,1193,208,1.005
737,1213,210,NA
716,1234,212,NA
694,1256,214,NA
672,1278,216,NA
648,1302,218,NA
622,1328,220,1.073
596,1354,222,1.134
568,1382,224,0.864
539,1411,226,0.802
508,1442,228,1.008
476,1474,230,0.717
444,1506,232,0.578
410,1540,234,0.625
375,1575,236,0.528
340,1610,238,0.541
304,1646,240,0.752
268,1682,242,1.123
232,1718,244,0.909
196,1754,246,0.589
160,1790,248,0.359
124,1826,250,0.51
88,1862,252,0.715
53,1897,254,0.717
19,1931,256,0.563
-14,1964,258,0.733
-47,1997,260,1.146
-79,2029,262,1.307
-111,2061,264,1.497
-141,2091,266,1.648
-171,2121,268,1.831
-200,2150,270,1.798
-228,2178,272,2.26
-256,2206,274,2.805
-283,2233,276,2.004
-309,2259,278,1.856
-334,2284,280,1.971
-359,2309,282,2.257
-383,2333,284,2.291
-406,2356,286,2.164
-428,2378,288,1.684
-450,2400,290,2.144
-471,2421,292,1.686
-492,2442,294,2.442
-511,2461,296,2.037
-530,2480,298,3.08
-548,2498,300,2.568
-566,2516,302,1.496
-583,2533,304,2.011
-599,2549,306,2.304
-614,2564,308,2.398
-629,2579,310,1.898
-643,2593,312,1.694
-656,2606,314,1.999
-669,2619,316,1.214
-682,2632,318,1.287
-693,2643,320,1.012
-705,2655,322,1.158
-716,2666,324,0.835
-728,2678,326,1.295
-739,2689,328,0.911
-750,2700,330,0.869
-761,2711,332,0.712
-773,2723,334,0.602
-785,2735,336,0.841
-797,2747,338,0.724
-809,2759,340,0.772
-823,2773,342,0.88
-836,2786,344,1.036
-851,2801,346,0.902
-866,2816,348,1.013
-882,2832,350,0.911
-899,2849,352,1.038
-917,2867,354,1.079
-936,2886,356,1.154
-956,2906,358,1.054
-977,2927,360,0.895
-999,2949,362,1.329
-1022,2972,364,1.462
-1045,2995,366,1.65
-1069,3019,368,1.328
-1094,3044,370,1.351
-1119,3069,372,1.525
-1144,3094,374,0.814
-1169,3119,376,1.064
-1195,3145,378,0.864
-1220,3170,380,1.155
-1245,3195,382,0.405
-1271,3221,384,0.523
-1296,3246,386,0.412
-1320,3270,388,0.699
-1345,3295,390,0.482
-1368,3318,392,0.685
-1391,3341,394,0.721
-1414,3364,396,0.996
-1436,3386,398,0.833
-1456,3406,400,0.66
-1476,3426,402,0.6
-1495,3445,404,0.622
-1514,3464,406,0.591
-1531,3481,408,0.643
-1549,3499,410,1.096
-1565,3515,412,0.559
-1581,3531,414,1.496
-1596,3546,416,0.798
-1611,3561,418,0.669
-1625,3575,420,0.496
-1639,3589,422,0.401
-1653,3603,424,0.482
-1666,3616,426,0.49
-1679,3629,428,0.482
-1692,3642,430,0.536
-1705,3655,432,0.515
-1717,3667,434,0.691
-1730,3680,436,0.857
-1742,3692,438,0.773
-1755,3705,440,0.804
-1767,3717,442,0.723
-1780,3730,444,0.844
-1792,3742,446,0.895
-1805,3755,448,0.901
-1818,3768,450,0.76
-1831,3781,452,1.096
-1845,3795,454,0.916
-1859,3809,456,0.953
-1873,3823,458,0.648
-1887,3837,460,1.047
-1902,3852,462,1.318
-1917,3867,464,1.087
-1932,3882,466,1.09
-1948,3898,468,1.33
-1963,3913,470,1.19
-1979,3929,472,1.073
-1995,3945,474,1.073
-2012,3962,476,0.919
-2028,3978,478,1.107
-2045,3995,480,0.716
-2062,4012,482,0.583
-2079,4029,484,0.396
-2096,4046,486,0.443
-2114,4064,488,0.505
-2132,4082,490,0.494
-2150,4100,492,0.628
-2168,4118,494,0.718
-2186,4136,496,0.456
-2204,4154,498,0.667
-2223,4173,500,0.777
-2242,4192,502,0.908
-2261,4211,504,0.835
-2280,4230,506,1.127
-2299,4249,508,0.894
-2319,4269,510,0.733
-2338,4288,512,0.643
-2358,4308,514,0.504
-2378,4328,516,0.315
-2398,4348,518,0.33
-2419,4369,520,0.244
-2440,4390,522,0.462
-2461,4411,524,0.532
-2482,4432,526,0.61
-2503,4453,528,0.853
-2525,4475,530,1.083
-2547,4497,532,0.905
-2569,4519,534,0.898
-2592,4542,536,0.862
-2614,4564,538,1.034
-2637,4587,540,1.585
-2661,4611,542,1.312
-2684,4634,544,1.558
-2708,4658,546,1.243
-2732,4682,548,1.291
-2757,4707,550,1.607
-2782,4732,552,1.324
-2807,4757,554,1.203
-2832,4782,556,1.201
-2858,4808,558,1.247
-2884,4834,560,1.24
-2911,4861,562,1.284
-2937,4887,564,1.119
-2965,4915,566,1.268
-2992,4942,568,1.26
-3020,4970,570,1.067
-3048,4998,572,0.846
-3077,5027,574,1.074
-3105,5055,576,1.212
-3134,5084,578,1.099
-3163,5113,580,1.151
-3192,5142,582,1.257
-3221,5171,584,1.151
-3250,5200,586,1.468
-3279,5229,588,1.069
-3308,5258,590,1.553
-3337,5287,592,1.335
-3365,5315,594,1.293
-3393,5343,596,1.13
-3421,5371,598,1.161
-3449,5399,600,1.062
-3476,5426,602,1.101
-3503,5453,604,1.026
-3530,5480,606,0.725
-3556,5506,608,0.601
-3581,5531,610,0.683
-3606,5556,612,0.735
-3630,5580,614,0.689
-3653,5603,616,0.619
-3676,5626,618,0.729
-3699,5649,620,0.607
-3721,5671,622,0.717
-3742,5692,624,0.758
-3762,5712,626,2.015
-3782,5732,628,0.772
-3802,5752,630,0.858
-3821,5771,632,0.615
-3839,5789,634,0.653
-3857,5807,636,0.835
-3874,5824,638,1.008
-3890,5840,640,1.26
-3906,5856,642,0.764
-3921,5871,644,1.173
-3936,5886,646,1.049
-3950,5900,648,0.924
-3964,5914,650,1.064
-3976,5926,652,1.164
-3988,5938,654,1.253
-4000,5950,656,0.883
-4011,5961,658,0.864
-4021,5971,660,1.052
-4031,5981,662,0.752
-4041,5991,664,0.857
-4050,6000,666,0.669
-4060,6010,668,0.634
-4069,6019,670,0.714
-4079,6029,672,0.784
-4089,6039,674,0.739
-4100,6050,676,0.642
-4111,6061,678,0.92
-4123,6073,680,0.808
-4136,6086,682,0.612
-4150,6100,684,0.519
-4166,6116,686,0.295
-4183,6133,688,0.352
-4201,6151,690,0.464
-4221,6171,692,0.478
-4242,6192,694,0.397
-4266,6216,696,0.287
-4291,6241,698,0.199
-4319,6269,700,0.253
-4349,6299,702,0.227
-4381,6331,704,0.203
-4416,6366,706,0.275
-4454,6404,708,0.26
-4495,6445,710,0.321
-4538,6488,712,0.284
-4584,6534,714,0.217
-4633,6583,716,0.273
-4685,6635,718,0.235
-4738,6688,720,0.231
-4793,6743,722,0.238
-4850,6800,724,0.236
-4909,6859,726,0.507
-4969,6919,728,0.619
-5030,6980,730,0.471
-5091,7041,732,0.637
-5154,7104,734,0.632
-5217,7167,736,0.477
-5280,7230,738,0.751
-5343,7293,740,0.637
-5406,7356,742,0.729
-5469,7419,744,0.416
-5531,7481,746,0.522
-5592,7542,748,0.448
-5653,7603,750,0.272
-5714,7664,752,0.245
-5774,7724,754,0.31
-5835,7785,756,0.338
-5895,7845,758,0.436
