depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
34,Carbon-14,111187,60,4000,gyttja,NA
101,Carbon-14,111188,110,5950,gyttja,NA
161.5,Carbon-14,111189,70,8420,gyttja,NA
233,Carbon-14,111190,200,12540,gyttja,NA
