depth (cm) [1-1],age (BP) [1-1],temperature (unitless) [1-1],age (BP) [1-2],temperature (unitless) [1-2],depth (cm) [2-1],age (BP) [2-1],temperature (unitless) [2-1],depth (cm) [3-1],age (BP) [3-1],d18O (permil) [3-1]
0,-50,9.668,9398.059,0.622,0,-50,9.43,1,NA,NA
2,103.627,10.066,9244.433,1.137,1,26.813,9.47,3,274,25.33
4,257.254,9.983,9090.806,0.447,2,103.627,9.96,5,432,25.18
6,410.881,10.096,8937.179,0.089,3,180.44,10.07,7,590,25.32
8,564.508,9.37,8783.552,0.278,4,257.254,10.18,9,748,25.64
10,718.135,9.336,8629.925,0.441,5,334.067,9.82,11,905,25.95
12,871.762,9.877,8476.298,0.339,6,410.881,9.98,13,1063,25.94
14,1025.389,9.28,8322.671,0.066,8,564.508,9.991,15,1221,25.81
16,1179.016,9.722,8169.044,-0.041,9,641.321,9.59,17,1379,26.07
18,1332.643,9.527,8015.417,-0.003,10,718.135,9.13,19,1536,26.09
20,1486.27,9.479,7861.79,-0.392,11,794.948,10.26,21,1694,26.35
22,1639.897,9.666,7708.163,0.413,12,871.762,9.93,23,1852,26.47
24,1793.524,9.443,7554.536,0.129,13,948.575,9.93,25,2010,26.61
26,1947.151,9.7,7400.909,0.178,15,1102.202,9.67,27,2167,26.71
28,2100.778,9.803,7247.282,0.117,17,1255.829,9.53,29,2325,27.03
30,2254.405,9.486,7093.655,0.147,19,1409.456,9.93,31,2483,26.67
32,2408.032,9.573,6940.028,0.238,20,1486.27,9.42,33,2640,26.55
34,2561.659,9.742,6786.401,-0.358,21,1563.083,9.71,35,2798,26.54
36,2715.286,9.868,6632.774,0.341,22,1639.897,9.71,37,2956,26.6
38,2868.913,9.241,6479.147,0.033,23,1716.71,9.96,39,3114,27.26
40,3022.54,9.124,6325.52,0.119,24,1793.524,9.81,41,3271,27.33
42,3176.167,9.479,6171.893,0.157,25,1870.337,9.46,43,3429,26.87
44,3329.794,9.411,6018.266,0.222,26,1947.151,9.77,45,3587,27.23
46,3483.421,9.363,5864.639,0.052,27,2023.964,9.95,47,3745,26.62
48,3637.048,9.328,5711.012,-0.273,28,2100.778,9.56,49,3902,26.75
50,3790.675,9.321,5557.385,0.18,29,2177.591,8.97,51,4060,26.45
52,3944.302,9.913,5403.758,-0.386,30,2254.405,9.42,53,4218,26.83
54,4097.929,9.44,5250.131,-0.144,31,2331.218,9.06,55,4376,27.19
