depth (m),planktic.d13C (permil),depth (m),planktic.d18O (permil),temperature (permil),d13C (degC),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),d13C (permil),d13C (permil),d18O (permil),d18O (permil),d13C (permil),d18O (permil),C37.concentration (permil),depth (m),age (BP),IRD (degC),Uk37 (g),Uk37 (missing),temperature (missing),depth (m),age (BP),temperature (g),depth (m),temperature (degC),CI (degC),temperature; CIComposite (degC)
0.2,0.18,0,-0.64,1.84,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,400,17.6,900,0.637,0.618,0.1,400,0,0,14.9,20.2,4.458
0.3,0.2,0.1,NA,NA,0.45,0.63,2.2,-1.15,0,NA,NA,NA,NA,NA,NA,0.2,968,17.8,1230,0.645,0.645,0.2,968,0,0.1,15.5,20.5,4.908
0.4,0.28,0.2,-0.88,0.3,1.28,0.96,2.09,-1.225,0.09,NA,NA,NA,NA,NA,NA,0.3,1805,17.6,830,0.637,0.637,0.3,1805,0,0.2,15.2,20.7,4.858
0.5,0.41,0.3,NA,NA,0.74,0.58,2.15,-1.33,0.12,NA,NA,NA,NA,NA,NA,0.4,2624,17.3,1140,0.627,0.627,0.4,2624,0,0.3,16.3,21,5.558
0.6,0.44,0.4,-0.73,0.36,0.73,0.76,2.07,-1.22,0.135,NA,NA,NA,NA,NA,NA,0.5,3426,18,720,0.65,0.629,0.5,3426,0,0.4,15.9,20.8,5.258
0.7,0.43,0.5,NA,NA,0.35,1.02,2.16,-1.19,0.41,-1.92,-0.98,5.31,4.53,NA,NA,0.6,4208,17.5,850,0.633,0.633,0.6,4208,0,0.5,15.6,20.6,5.008
0.8,0.44,0.6,-1.02,0.22,0.24,0.735,1.935,-1.09,0.44,NA,NA,NA,NA,NA,NA,0.7,4970,18.6,600,0.671,0.634,0.7,4970,0,0.6,15.6,20.5,4.958
0.9,0.43,0.7,NA,NA,0.29,1,2.08,-1.16,0.43,NA,NA,NA,NA,NA,NA,0.79,5637,18.6,310,0.672,0.672,0.8,5710,0,0.7,15.7,20.7,5.108
1,0.44,0.8,-1.1,0.46,0.49,0.73,2,-1.41,0.4,NA,NA,NA,NA,NA,NA,0.88,6286,17.9,910,0.648,0.624,0.9,6428,0,0.8,15.5,20.5,4.908
1.1,0.42,0.9,NA,NA,0.87,0.88,2.25,-1.62,0.43,NA,NA,NA,NA,NA,NA,0.99,7054,18,510,0.65,0.65,1,7123,0.2,0.9,16.5,21.5,5.908
1.2,0.66,1,-0.81,0.43,0.22,0.89,2,-1.53,0.44,NA,NA,NA,NA,NA,NA,1.05,7462,18.6,820,0.67,0.649,1.1,7795,0,1,16.2,20.9,5.458
1.3,0.62,1.1,NA,NA,0.24,0.7,2.17,-1.3,0.42,NA,NA,NA,NA,NA,NA,1.09,7729,18.3,410,0.66,0.642,1.2,8443,0.6,1.1,16,20.8,5.308
1.5,0.65,1.2,-0.81,0.63,0.3,0.91,2.13,-1.13,0.67,NA,NA,NA,NA,NA,NA,1.15,8122,18.1,550,0.654,0.616,1.3,9069,0.1,1.2,16.7,21.3,5.908
1.6,1.15,1.29,NA,NA,NA,NA,NA,-0.5,0.45,NA,NA,NA,NA,NA,NA,1.2,8443,18.6,720,0.671,0.649,1.4,9670,0.4,1.3,14.8,20,4.308
1.7,1.49,1.3,NA,NA,0.55,0.6,1.68,-1.35,0.62,NA,NA,NA,NA,NA,NA,1.25,8759,17.5,910,0.634,0.597,1.5,10249,0.4,1.4,13.5,19.1,3.208
1.8,1.65,1.35,NA,NA,NA,0.54,2.29,-1.25,0.63,NA,NA,NA,NA,NA,NA,1.28,8945,18.3,500,0.661,0.661,1.6,10804,0.2,1.5,13.7,19.3,3.408
1.9,1.61,1.39,NA,NA,NA,0.79,2.21,-1.1,0.14,NA,NA,NA,NA,NA,NA,1.35,9372,19.1,650,0.688,0.688,1.7,11337,0.4,1.6,15.2,20.2,4.608
2,1.45,1.4,-0.99,0.54,0.54,-0.05,2.35,-1.58,0.14,NA,NA,NA,NA,NA,NA,1.38,9552,18.6,1560,0.67,0.67,1.8,11847,0.9,1.7,6.4,10.5,-4.642
2.1,1.31,1.45,NA,NA,NA,0.74,1.97,-0.85,1.19,NA,NA,NA,NA,NA,NA,1.43,9846,17.6,1660,0.637,0.637,1.9,12336,0.2,1.8,6,9.6,-5.292
2.2,1.13,1.49,NA,NA,NA,NA,NA,-0.85,2.12,NA,NA,NA,NA,NA,NA,1.53,10418,18.7,1090,0.676,0.664,2,12804,0.1,1.9,10.7,15.7,0.108
2.3,1.04,1.5,-0.81,0.79,1.13,0.75,2.48,-1.39,0.65,NA,NA,NA,NA,NA,NA,1.55,10529,18.8,150,0.677,0.667,2.1,13252,0.2,2,7,10.6,-4.292
2.4,1.03,1.51,NA,NA,NA,NA,NA,-0.86,0.75,-2.04,NA,4.08,NA,NA,NA,1.6,10804,15.4,350,0.563,0.545,2.2,13681,0.1,2.1,12,17.1,1.458
2.5,2.21,1.55,NA,NA,NA,NA,NA,-0.82,0.8,-2,NA,4.27,NA,NA,NA,1.65,11073,13.3,990,0.493,0.493,2.3,14091,0.3,2.2,13.4,19.1,3.158
2.6,2.31,1.6,-0.67,1.58,1.19,0.67,2.4,-1.2,0.91,-1.84,NA,4.16,NA,NA,NA,1.7,11337,13.4,1690,0.494,0.475,2.4,14485,1.4,2.3,13.4,19,3.108
2.7,2.28,1.7,-0.41,1.77,1.2,NA,NA,-0.64,1.495,-1.71,-0.87,4.3,3.71,NA,NA,1.75,11595,11.7,1100,0.436,0.402,2.5,14861,2.2,2.4,13,18.6,2.708
2.8,2.21,1.8,-0.6,1.59,1.06,NA,NA,-0.67,1.68,-1.81,-0.72,4.5,3.51,NA,NA,1.8,11847,11.7,1780,0.438,0.403,2.6,15223,9.7,2.5,5.7,9.7,-5.392
2.9,2.54,1.9,-0.63,1.8,1.63,NA,NA,-0.777,1.403,-1.85,-0.96,4.34,3.62,NA,NA,1.85,12094,13.5,2030,0.498,0.469,2.7,15571,62.5,2.6,5.7,9.7,-5.392
3,2.71,2,-0.72,1.25,1.41,0.53,2.03,-0.855,1.435,-1.93,NA,4.37,NA,NA,NA,1.9,12336,13,1600,0.481,0.459,2.8,15906,79.8,2.7,4.6,8.8,-6.392
3.2,2.71,2.1,NA,NA,0.85,0.58,3.13,-1.1,1.085,-2.07,NA,4.39,NA,NA,NA,1.95,12573,14.5,1050,0.533,0.474,2.9,16229,15.9,2.8,4.3,8.8,-6.542
3.3,2.91,2.2,-1.16,1.15,1.3,0.44,2.57,-1.105,1.04,-2,NA,4.64,NA,NA,NA,2,12804,14.7,1770,0.538,0.522,3,16543,1.4,2.9,4,8.2,-6.992
3.4,2.75,2.25,NA,NA,NA,NA,NA,-0.91,1.15,-2.06,NA,4.66,NA,NA,NA,2.1,13252,15.4,1090,0.561,0.561,3.1,16847,1.9,3,3.9,8.2,-7.042
3.5,2.47,2.3,NA,NA,1.08,NA,NA,-2.14,1.04,-2.15,NA,4.85,NA,NA,NA,2.2,13681,15.5,930,0.565,0.565,3.2,17144,1.8,3.1,4.6,8.8,-6.392
3.8,2.5,2.35,NA,NA,NA,NA,NA,NA,NA,-2.3,NA,4.54,NA,NA,NA,2.25,13888,15.5,980,0.565,0.565,3.3,17435,11.5,3.2,3.3,8,-7.442
4,2.29,2.4,-0.89,1.79,1.57,0.28,2.95,-2.18,1.03,NA,NA,NA,NA,NA,NA,2.3,14091,15.1,750,0.553,0.553,3.4,17720,0.5,3.3,4.6,8.8,-6.392
4.2,2.01,2.45,NA,NA,NA,NA,NA,NA,NA,-2.17,NA,4.85,NA,NA,NA,2.4,14485,14.8,580,0.542,0.542,3.5,18003,0.5,3.4,10,14.4,-0.892
5,2.34,2.49,NA,NA,NA,NA,NA,NA,NA,-1.97,NA,4.87,NA,NA,NA,2.45,14675,14.3,700,0.524,0.491,3.6,18282,1,3.5,10.7,15.4,-0.042
5.2,2.64,2.5,-0.88,2.29,0.28,-0.03,2.81,-1.35,2.11,NA,NA,NA,NA,NA,NA,2.5,14861,14.8,420,0.541,0.51,3.7,18561,0.7,3.6,11.1,16,0.458
5.5,2.48,2.55,NA,NA,NA,NA,NA,-0.71,2.13,-2.1,NA,4.77,NA,NA,NA,2.55,15044,13.2,560,0.488,0.336,3.8,18841,1.7,3.7,10.8,15.7,0.158
5.8,2.69,2.6,-0.94,2.37,1.46,NA,NA,-1.11,2.31,-1.86,NA,5.24,NA,NA,NA,2.6,15223,12.4,400,0.461,0.387,3.9,19121,0.1,3.8,10.7,15.5,0.008
6,2.03,2.65,NA,NA,NA,NA,NA,-0.78,2.11,-2.06,NA,4.83,NA,NA,NA,2.7,15571,12,730,0.446,0.275,4,19405,0.3,3.9,12.2,17.6,1.808
6.48,4.85,2.7,NA,NA,0.21,NA,NA,-1.14,2.28,-1.81,-0.93,5.18,4.3,NA,NA,2.75,15740,12.9,580,0.477,0.304,4.1,19693,0,4,8.6,13,-2.292
6.5,2.49,2.75,NA,NA,NA,NA,NA,-0.91,1.83,-1.92,NA,5.17,NA,NA,NA,2.8,15906,12.8,620,0.474,0.369,4.2,19985,0.2,4.1,14.2,19.7,3.858
6.7,2.57,2.8,-0.89,1.8,0,NA,NA,-1.17,2.21,-1.95,NA,5.04,NA,NA,NA,2.85,16069,12.3,480,0.456,0.291,4.3,20284,0.5,4.2,14.5,19.9,4.108
6.9,2.54,2.85,NA,NA,NA,NA,NA,-0.75,2.33,-1.9,NA,5.32,NA,NA,NA,2.9,16229,11.9,590,0.442,0.308,4.4,20590,0.5,4.3,11.5,16.6,0.958
NA,NA,2.9,NA,NA,0.32,NA,NA,-1.06,2.54,-1.92,NA,5.22,NA,NA,NA,2.95,16387,11.5,580,0.431,0.284,4.5,20904,0.6,4.4,12.7,18.1,2.308
NA,NA,2.95,NA,NA,NA,NA,NA,-0.91,2.36,-1.9,NA,5.09,NA,NA,NA,3,16543,11.9,490,0.443,0.302,4.6,21228,1.8,4.5,10.7,15.3,-0.092
NA,NA,2.995,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,4.53,NA,NA,3.02,16604,12.3,450,0.457,0.316,4.7,21561,1.5,4.7,11.1,16.6,0.758
NA,NA,3,-0.97,2.79,0.66,NA,NA,-1.14,2.71,NA,NA,NA,NA,NA,NA,3.06,16726,11.1,480,0.418,0.278,4.8,21904,0.6,4.8,10.5,15.6,-0.042
