depth (cm),age (BP),temperature (degC),OriginalSampleID (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
0,0,10.66,GB-SL-07 PT1,11.79,9.54,Y
5.6,112.558,10.98,GB-SL-07 PT1,12.05,9.91,Y
9.3,186.926,11.02,GB-SL-07 PT1,12.09,9.96,Y
14.9,299.484,10.89,GB-SL-07 PT1,11.95,9.83,Y
18.6,373.852,10.7,GB-SL-07 PT1,11.77,9.64,Y
24.2,486.41,10.77,GB-SL-07 PT1,11.85,9.69,Y
27.9,560.778,10.31,GB-SL-07 PT1,11.37,9.24,Y
33.1,665.296,10.37,GB-SL-07 PT1,11.45,9.28,Y
37.7,757.754,10.4,GB-SL-07 PT1,11.5,9.3,Y
42.4,852.222,10.52,GB-SL-07 PT1,11.58,9.47,Y
47.5,954.73,10.6,GB-SL-07 LC2,11.69,9.52,Y
57.25,1150.701,9.37,GB-SL-07 LC2,10.95,7.79,Y
62.25,1251.199,10.33,GB-SL-07 LC2,11.53,9.12,Y
67.25,1351.697,10.95,GB-SL-07 LC2,12.01,9.88,Y
72.25,1452.195,10.5,GB-SL-07 LC2,11.7,9.31,Y
77.25,1552.693,9.68,GB-SL-07 LC2,11.17,8.19,Y
82.25,1653.191,9.1,GB-SL-07 LC2,10.69,7.51,Y
87.25,1753.688,9.05,GB-SL-07 LC2,10.62,7.49,Y
92.25,1854.186,9.8,GB-SL-07 LC2,11.43,8.17,Y
97.25,1954.684,9.41,GB-SL-07 LC2,10.98,7.84,Y
102.25,2055.182,9.74,GB-SL-07 LC2,11.32,8.17,Y
107.25,2155.68,9.53,GB-SL-07 LC2,11.2,7.87,Y
112.25,2256.178,9.72,GB-SL-07 LC2,11.59,7.85,Y
117.25,2356.676,9.79,GB-SL-07 LC2,11.11,8.47,Y
122.25,2457.174,9.69,GB-SL-07 LC2,11.3,8.09,Y
127.25,2557.672,9.37,GB-SL-07 LC2,10.83,7.9,Y
132.25,2658.17,9.88,GB-SL-07 LC2,11.24,8.53,Y
137.25,2758.668,9.47,GB-SL-07 LC2,10.99,7.95,Y
142.25,2859.165,9.31,GB-SL-07 LC2,11.08,7.54,Y
147.25,2959.663,9.62,GB-SL-07 LC2,11,8.25,Y
152.25,3060.161,9.8,GB-SL-07 LC2,11.3,8.3,Y
167.25,3361.655,9.87,GB-SL-07 LC2,11.16,8.59,Y
172.25,3462.153,9.75,GB-SL-07 LC2,11.3,8.19,Y
177.25,3562.651,9.73,GB-SL-07 LC2,11.12,8.35,Y
182.25,3663.149,9.74,GB-SL-07 LC2,11.13,8.35,Y
187.25,3763.647,9.66,GB-SL-07 LC2,11.18,8.15,Y
192.25,3864.145,10.26,GB-SL-07 LC2,11.43,9.1,Y
197.25,3964.642,10.13,GB-SL-07 LC2,11.38,8.89,Y
202.25,4065.14,10.04,GB-SL-07 LC2,11.35,8.74,Y
207.25,4165.638,10.3,GB-SL-07 LC2,11.51,9.08,Y
212.25,4266.136,10.25,GB-SL-07 LC2,11.49,9.01,Y
217.25,4366.634,10.42,GB-SL-07 LC2,11.59,9.25,Y
222.25,4467.132,10.48,GB-SL-07 LC2,11.66,9.31,Y
227.25,4567.63,10.61,GB-SL-07 LC2,11.72,9.51,Y
232.25,4668.128,10.51,GB-SL-07 LC2,11.7,9.32,Y
237.25,4768.626,10.24,GB-SL-07 LC2,11.63,8.85,Y
243.25,4889.223,10.39,GB-SL-07 LC2,11.7,9.09,Y
245.25,4929.422,10.54,GB-SL-07 LC2,11.74,9.33,Y
247.25,4969.622,10.46,GB-SL-07 LC2,11.63,9.29,Y
249.25,5009.821,10.27,GB-SL-07 LC2,11.49,9.06,Y
251.25,5050.02,10.44,GB-SL-07 LC2,11.61,9.26,Y
253.25,5090.219,10.51,GB-SL-07 LC2,11.74,9.28,Y
255.25,5130.418,10.79,GB-SL-07 LC2,11.9,9.68,Y
257.25,5170.617,10.81,GB-SL-07 LC2,11.88,9.74,Y
259.25,5210.817,10.46,GB-SL-07 LC2,11.73,9.19,Y
261.25,5251.016,10.52,GB-SL-07 LC2,11.74,9.31,Y
263.25,5291.215,10.66,GB-SL-07 LC2,11.79,9.52,Y
265.25,5331.414,10.89,GB-SL-07 LC2,12.01,9.78,Y
267.25,5371.613,10.59,GB-SL-07 LC2,11.7,9.47,Y
269.25,5411.812,10.88,GB-SL-07 LC2,12.01,9.75,Y
271.25,5452.011,10.9,GB-SL-07 LC2,12.04,9.75,Y
277.25,5572.609,10.32,GB-SL-07 LC2,11.43,9.21,Y
282.25,5673.107,10.5,GB-SL-07 LC2,11.62,9.38,Y
287.25,5773.605,10.13,GB-SL-07 LC2,11.26,9,Y
292.25,5874.103,10.46,GB-SL-07 LC2,11.61,9.31,Y
297.25,5974.601,10.3,GB-SL-07 LC2,11.39,9.2,Y
298.25,5994.7,10.24,GB-SL-07 LC2,11.36,9.12,Y
299.25,6014.8,10.73,GB-SL-07 LC2,11.82,9.65,Y
300.25,6034.899,10.18,GB-SL-07 LC2,11.21,9.14,Y
301.25,6054.999,10.52,GB-SL-07 LC2,11.6,9.43,Y
302.25,6075.099,10.48,GB-SL-07 LC2,11.69,9.27,Y
303.25,6095.198,10.45,GB-SL-07 LC2,11.59,9.3,Y
304.25,6115.298,9.82,GB-SL-07 LC2,11.04,8.61,Y
305.25,6135.397,10.09,GB-SL-07 LC2,11.31,8.87,Y
306.25,6155.497,10.09,GB-SL-07 LC2,11.22,8.96,Y
307.25,6175.596,10.2,GB-SL-07 LC2,11.32,9.09,Y
308.25,6195.696,9.7,GB-SL-07 LC2,10.93,8.47,Y
309.25,6215.796,10.21,GB-SL-07 LC2,11.48,8.94,Y
310.25,6235.895,9.26,GB-SL-07 LC2,10.92,7.6,Y
311.25,6255.995,10.87,GB-SL-07 LC2,11.93,9.82,Y
312.25,6276.094,10.08,GB-SL-07 LC2,11.21,8.95,Y
313.25,6296.194,10.72,GB-SL-07 LC2,11.8,9.65,Y
314.25,6316.294,10.13,GB-SL-07 LC2,11.29,8.98,Y
315.25,6336.393,10.2,GB-SL-07 LC2,11.32,9.08,Y
316.25,6356.493,10.36,GB-SL-07 LC2,11.52,9.2,Y
317.25,6376.592,10.53,GB-SL-07 LC2,11.67,9.4,Y
318.25,6396.692,10.21,GB-SL-07 LC2,11.43,9,Y
319.25,6416.791,10.16,GB-SL-07 LC2,11.41,8.9,Y
320.25,6436.891,10.34,GB-SL-07 LC2,11.58,9.11,Y
321.25,6456.991,10.63,GB-SL-07 LC2,11.79,9.48,Y
322.25,6477.09,10.56,GB-SL-07 LC2,11.71,9.41,Y
323.25,6497.19,10.49,GB-SL-07 LC2,11.58,9.4,Y
324.25,6517.289,9.82,GB-SL-07 LC2,10.94,8.7,Y
325.25,6537.389,10.17,GB-SL-07 LC2,11.35,8.98,Y
326.25,6557.488,9.92,GB-SL-07 LC2,11.19,8.65,Y
327.25,6577.588,10.31,GB-SL-07 LC2,11.46,9.17,Y
328.25,6597.688,9.53,GB-SL-07 LC2,10.8,8.27,Y
329.25,6617.787,9.94,GB-SL-07 LC2,11.3,8.58,Y
330.25,6637.887,9.55,GB-SL-07 LC2,10.8,8.3,Y
331.25,6657.986,10.09,GB-SL-07 LC2,11.29,8.89,Y
332.25,6678.086,10.25,GB-SL-07 LC2,11.42,9.08,Y
