year (AD),age (BP),MedianElevM (m),MaxElevM (m),MinElevM (m),Recon0x2EDate (missing)
1900,50,0,0.141,-0.141,11414
1850,100,0.005,0.141,-0.132,11414
1800,150,0.003,0.141,-0.136,11414
1750,200,0.001,0.141,-0.14,11414
1700,250,-0.001,0.141,-0.144,11414
1650,300,-0.003,0.141,-0.148,11414
1600,350,-0.005,0.141,-0.152,11414
1550,400,-0.011,0.141,-0.164,11414
1500,450,-0.018,0.141,-0.176,11414
1450,500,-0.03,0.141,-0.201,11414
1400,550,-0.039,0.141,-0.219,11414
1350,600,-0.048,0.141,-0.238,11414
1300,650,-0.052,0.141,-0.245,11414
1250,700,-0.056,0.141,-0.252,11414
1200,750,-0.059,0.141,-0.26,11414
1150,800,-0.063,0.141,-0.267,11414
1100,850,-0.066,0.141,-0.274,11414
1050,900,-0.07,0.141,-0.281,11414
1000,950,-0.079,0.141,-0.299,11414
950,1000,-0.089,0.141,-0.318,11414
900,1050,-0.098,0.141,-0.338,11414
850,1100,-0.092,0.141,-0.324,11414
800,1150,-0.084,0.141,-0.309,11414
750,1200,-0.089,0.141,-0.319,11414
700,1250,-0.105,0.141,-0.352,11414
650,1300,-0.122,0.141,-0.385,11414
600,1350,-0.132,0.141,-0.405,11414
550,1400,-0.142,0.141,-0.425,11414
500,1450,-0.152,0.141,-0.445,11414
450,1500,-0.157,0.141,-0.455,11414
400,1550,-0.162,0.141,-0.465,11414
350,1600,-0.167,0.141,-0.474,11414
300,1650,-0.177,0.12,-0.474,11414
250,1700,-0.207,0.099,-0.513,11414
200,1750,-0.236,0.078,-0.55,11414
150,1800,-0.275,0.049,-0.598,11414
100,1850,-0.293,0.019,-0.605,11414
50,1900,-0.318,-0.019,-0.618,11414
0,1950,-0.328,-0.029,-0.628,11414
-50,2000,-0.448,-0.064,-0.833,11414
-100,2050,-0.567,-0.102,-1.032,11414
-150,2100,-0.686,-0.14,-1.232,11414
-200,2150,-0.824,-0.186,-1.461,11414
-250,2200,-0.842,-0.219,-1.465,11414
-300,2250,-0.86,-0.252,-1.469,11414
-350,2300,-0.644,-0.227,-1.061,11414
-400,2350,-0.542,-0.205,-0.879,11414
-450,2400,-0.44,-0.182,-0.698,11414
-500,2450,-0.456,-0.197,-0.715,11414
-550,2500,-0.471,-0.211,-0.731,11414
-600,2550,-0.487,-0.226,-0.748,11414
-650,2600,-0.528,-0.286,-0.77,11414
-700,2650,-0.569,-0.345,-0.792,11414
-750,2700,-0.61,-0.406,-0.814,11414
-800,2750,-0.615,-0.41,-0.819,11414
-850,2800,-0.619,-0.414,-0.825,11414
-900,2850,-0.624,-0.418,-0.83,11414
-950,2900,-0.623,-0.422,-0.823,11414
-1000,2950,-0.627,-0.426,-0.829,11414
