depth (cm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),age_type (),lab_id (),material_dated ()
28.5,820,15,740,700,1,4,3
57,1320,60,1300,1180,1,1,4
77.5,2605,15,2760,2740,1,6,2
166,4500,60,5290,5050,1,2,1
243.5,6630,25,7570,7490,1,3,2
298.5,8030,15,9010,8810,1,5,1
