year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1750,200,200.12,27.3,0.95,146.216
1550,400,402.824,27.36,0.95,149.904
1350,600,608.048,27.27,0.94,91.786
1130,820,821.05,27.36,0.95,182.035
920,1030,1035.72,27.12,0.94,241.162
700,1250,1250.699,27.21,0.94,278.817
490,1460,1465.889,27.03,0.94,301.773
270,1680,1681.23,27.12,0.94,314.163
60,1890,1896.717,27.03,0.94,316.365
-150,2100,2112.341,26.91,0.93,309.346
-370,2320,2328.128,26.82,0.93,291.513
-580,2530,2544.109,27.15,0.94,261.617
-800,2750,2760.43,27.03,0.94,212.778
-1010,2960,2978.305,27.18,0.94,125.384
-1360,3310,3318.518,26.97,0.93,247.834
-1700,3650,3661.005,26.88,0.93,306.607
-2050,4000,4004.039,26.97,0.93,335.401
-2390,4340,4347.417,27.03,0.94,344.006
-2740,4690,4691.13,27.21,0.94,332.404
-3090,5040,5035.188,27.09,0.94,300.179
-3430,5380,5379.793,27.33,0.95,236.275
-3780,5730,5726.671,27.24,0.94,97.705
-4170,6120,6124.259,27.21,0.94,245.324
-4970,6920,6925.136,26.7,0.93,317.85
-5360,7310,7326.432,27.06,0.94,301.59
-5760,7710,7728.418,26.82,0.93,243.635
-6160,8110,8132.909,26.91,0.93,94.885
-6420,8370,8375.942,26.97,0.93,186.712
-6680,8630,8621.147,26.97,0.93,215.457
-6930,8880,8867.212,26.64,0.92,205.187
-7190,9140,9115.45,26.91,0.93,155.489
-7520,9470,9460.279,26.7,0.93,254.708
-7850,9800,9807.35,26.67,0.92,306.049
-8190,10140,10154.992,26.7,0.93,329.211
-8520,10470,10503.016,26.58,0.92,332.034
-8850,10800,10851.455,26.7,0.93,313.269
-9180,11130,11200.415,26.42,0.92,270.689
-9510,11460,11536.568,26.55,0.92,203.857
-9740,11690,11759.179,26.36,0.91,234.372
-9970,11920,11968.151,26.33,0.913,260.549
-10200,12150,12177.455,26.21,0.91,271.903
-10430,12380,12387.024,26.15,0.91,268.871
-10660,12610,12596.836,26.18,0.91,251.918
-10890,12840,12807.012,26.12,0.91,215.782
-11130,13080,13018.618,26.21,0.91,146.861
-11410,13360,13327.671,26.39,0.92,240.402
-11700,13650,13639.48,26.15,0.91,283.788
-11990,13940,13952.148,26.3,0.91,300.732
-12280,14230,14265.601,26.15,0.91,299.041
-12570,14520,14581.563,25.73,0.89,287.124
-12850,14800,14903.9,25.85,0.9,315.625
