depth (cm),age (BP),temperature (degC)
0,-27,8.772
2,102.471,9.141
3,188.783,8.49
4,247.675,8.098
5,361.407,8.7
7,506.611,8.327
8,620.344,8.905
10,792.968,8.652
12,965.592,9.823
14,1138.217,9.382
16,1310.841,9.963
18,1483.465,9.612
22,1828.714,10.258
24,2001.338,10.174
26,2173.963,8.854
28,2346.587,10.328
30,2519.211,9.771
32,2691.836,9.27
34,2864.46,9.42
36,3037.084,9.685
38,3209.709,8.741
40,3382.333,8.537
42,3554.957,10.307
46,3900.206,9.382
48,4072.83,10.177
52,4418.079,10.003
54,4590.703,10.388
56,4763.328,9.871
58,4935.952,10.326
60,5108.577,10.51
64,5453.825,10.572
66,5626.45,10.593
68,5799.074,10.529
70,5971.698,10.277
72,6144.323,10.687
74,6316.947,10.733
76,6489.571,11.406
78,6662.196,10.448
80,6834.82,10.492
84,7180.069,11.021
86,7352.693,10.611
88,7525.317,10.407
90,7697.942,10.323
92,7870.566,10.388
94,8043.19,10.534
96,8215.815,9.56
98,8388.439,9.711
100,8561.063,9.491
102,8733.688,9.482
104,8906.312,9.631
106,9078.936,10.07
108,9251.561,10.27
110,9424.185,9.424
112,9596.809,10.019
114,9769.434,11.005
116,9942.058,10.966
118,10114.682,9.673
120,10287.307,9.593
125,10500.42,9.66
128,10700.42,9.971
132,10900.42,10.318
