depth (cm),age14C (bp),age_error (1_s),age_type (),lab_id (),material_dated ()
0,-60,1,2,NA,NA
38,585,50,1,2,1
89,1860,60,1,3,1
113,2240,30,1,11,1
135,2770,50,1,1,1
149,2880,50,1,7,1
171,3255,15,1,12,1
190,4140,70,1,10,1
224,5690,70,1,8,1
235,6170,80,1,6,1
260.5,7930,40,1,13,1
280.5,8075,40,1,14,1
304,8260,80,1,4,1
352,9220,100,1,5,1
368,10050,35,1,9,1
