depth (m),age (BP),temperature (degC),d18O (permil),planktic.MgCa (permil),temperature (mmol_mol)
0.02,1200,24.1,-1.58,3.14,2.467
0.06,1700,24.8,-1.43,3.26,2.635
0.08,2000,24.4,-1.46,3.28,2.539
0.1,2300,23.9,-1.63,3.41,2.416
0.12,2600,24.6,-1.27,3.03,2.576
0.16,3100,23.6,-1.35,3.43,2.347
0.18,3400,24.3,-1.4,3.33,2.502
0.2,3700,23.6,-1.46,3.2,2.36
0.22,4000,24.2,-1.5,3.23,2.493
0.26,4500,24,-1.31,3.26,2.443
0.28,4800,24.4,-1.32,3.39,2.538
0.3,5000,24,-1.63,2.91,2.448
0.32,5300,24.6,-2,3.28,2.587
0.36,5800,24,-1.51,3.01,2.435
0.38,6100,24.3,-1.67,2.9,2.517
0.4,6300,23.9,-1.59,3.06,2.43
0.42,6600,24,-1.66,2.8,2.446
0.46,7100,24.4,-1.67,3.05,2.534
0.48,7300,24.3,-1.81,3.16,2.517
0.5,7600,24.4,-1.59,3.22,2.523
0.52,7800,24.4,-1.39,3.27,2.537
0.56,8300,24.8,-1.03,3.48,2.624
0.58,8500,24.1,-1.28,3.59,2.47
0.6,8800,24.2,-1.12,3.48,2.478
0.62,9000,24.3,-1.27,3.41,2.507
0.66,9500,24.8,-1.24,3.31,2.618
0.68,9700,24.4,-1.26,3.66,2.532
0.7,9900,24.7,-1.41,3.6,2.605
0.72,10200,25.2,-1.33,3.55,2.72
0.76,10600,24.8,-1.04,3.76,2.615
0.78,10800,24.5,-0.92,3.66,2.557
0.8,11100,24.7,-0.97,3.8,2.599
0.82,11300,25.6,-0.99,3.67,2.815
0.86,11700,24.8,-0.58,4.06,2.636
0.88,12000,24.4,-0.24,4.02,2.543
0.9,12200,24,-0.67,4.02,2.445
0.92,12400,24,-0.66,4.09,2.452
0.96,12800,24,-0.63,4.1,2.432
0.98,13000,23.7,-0.19,4.17,2.373
1,13200,24.2,-0.4,4.21,2.488
1.02,13500,24.1,-0.58,4.21,2.456
1.06,13900,23.9,-0.6,4.15,2.412
1.08,14100,24.6,-0.42,4.28,2.57
1.1,14300,24.3,-0.83,4.19,2.499
1.12,14500,23.2,-0.79,4.23,2.273
1.16,14900,24.7,-0.56,4.42,2.613
1.18,15100,24.1,-0.19,4.39,2.47
1.2,15300,24.2,-0.31,4.52,2.489
1.22,15500,24.3,-0.18,4.62,2.51
1.26,15900,24.2,-0.39,4.6,2.497
1.28,16100,24.4,-0.09,4.68,2.535
1.3,16300,23.5,-0.21,4.72,2.337
1.32,16500,23.9,-0.44,4.55,2.428
1.36,16900,23.2,-0.17,4.75,2.28
1.38,17100,22,0.13,4.65,2.04
1.4,17300,22.9,-0.05,4.6,2.21
1.42,17500,23.6,-0.1,4.65,2.351
1.44,17700,23.4,-0.21,4.51,2.32
1.46,17900,23.9,-0.18,4.62,2.415
1.48,18100,23.4,-0.24,4.82,2.313
1.5,18200,22.8,-0.39,4.87,2.193
1.52,18400,22.6,-0.4,4.91,2.162
1.54,18600,23.2,-0.17,4.81,2.27
1.56,18800,22.5,-0.06,4.61,2.143
1.58,19000,22.5,-0.28,4.73,2.138
1.6,19200,22.7,-0.17,4.68,2.175
1.62,19400,21.7,0.14,5.12,1.987
1.64,19600,23,-0.06,4.79,2.232
1.66,19800,21.4,0.15,4.68,1.936
1.68,20000,22.5,0.01,4.74,2.129
1.7,20100,22.6,-0.06,4.9,2.154
1.72,20300,21.8,-0.39,4.79,2.009
1.74,20500,22.6,-0.2,4.76,2.153
1.76,20700,22.9,-0.19,4.94,2.206
1.78,20900,23.4,-0.39,4.82,2.319
1.8,21100,22.8,-0.18,4.88,2.193
1.82,21300,22.8,-0.13,4.95,2.183
1.84,21500,22.1,-0.16,NA,2.065
1.86,21700,23.1,-0.07,4.85,2.257
1.88,21800,22.3,0.11,4.76,2.088
1.9,22000,21.9,0.03,4.76,2.029
1.92,22200,21.7,0.23,4.56,1.987
1.94,22400,21.7,-0.04,4.43,1.989
1.96,22600,22.2,-0.06,4.79,2.083
1.98,22800,22.1,-0.33,4.91,2.05
2,23000,22.9,-0.48,4.82,2.203
2.02,23100,22.6,-0.51,4.7,2.152
2.04,23300,23.3,-0.51,4.84,2.294
2.06,23500,23.7,-0.5,NA,2.369
2.08,23700,23.5,-0.63,4.68,2.343
2.1,23900,23.4,-0.26,4.64,2.324
2.12,24100,23.5,-0.44,4.7,2.344
2.14,24300,22.5,-0.44,4.59,2.135
2.16,24500,23.2,-0.41,4.64,2.272
2.18,24700,22.7,-0.13,4.88,2.168
2.2,24800,22.7,-0.07,4.39,2.181
2.21,24900,22,-0.36,4.59,2.035
2.23,25100,22.3,-0.15,NA,2.101
2.25,25300,22.6,-0.31,4.71,2.159
2.27,25500,21.7,-0.31,4.74,1.981
2.29,25700,22.7,-0.22,4.66,2.181
2.31,25900,22.1,-0.18,4.8,2.057
2.33,26100,22.6,-0.66,4.63,2.162
2.35,26300,23.9,-0.32,4.62,2.429
2.37,26500,22.4,-0.36,4.72,2.115
2.39,26700,21.9,-0.47,4.69,2.03
2.41,26900,22.2,-0.59,4.64,2.082
2.43,27100,22,-0.45,4.59,2.045
2.45,27300,22,-0.69,4.74,2.043
2.47,27500,21.9,-0.29,4.72,2.016
2.49,27600,21.8,-0.17,4.48,2.007
2.51,27800,22.3,-0.33,4.7,2.101
2.53,28000,22.3,-0.13,4.48,2.103
2.55,28200,22.7,-0.39,4.58,2.171
2.57,28400,23.2,-0.56,4.67,2.274
2.59,28600,22.5,-0.55,4.52,2.141
2.61,28800,22.7,-0.22,4.56,2.168
2.63,29000,21.5,-0.23,4.43,1.954
2.65,29300,22.6,-0.56,4.38,2.159
2.67,29500,23.6,-0.27,4.49,2.35
2.69,29700,22.3,-0.18,4.55,2.093
2.71,29900,22.5,-0.2,4.4,2.133
2.73,30100,22.5,-0.5,4.71,2.143
2.75,30300,21.9,-0.27,4.47,2.024
