year (AD),age (BP),AnnualPrecipitation (mm/yr)
1950,0,1097.011
1900,50,1075.106
1850,100,1020.26
1800,150,1023.015
1750,200,965.721
1700,250,1070.036
1650,300,1123.857
1600,350,1150.906
1550,400,1177.954
1500,450,1205.003
1450,500,1190.712
1400,550,1144.854
1350,600,1098.996
1300,650,1059.42
1250,700,1060.418
1200,750,1061.417
1150,800,1062.416
1100,850,1062.364
1050,900,1061.865
1000,950,1061.365
950,1000,1060.866
900,1050,1060.367
850,1100,1059.867
800,1150,1059.368
750,1200,1072.978
700,1250,1089.373
650,1300,1105.769
600,1350,1114.785
550,1400,1112.829
500,1450,1110.873
450,1500,1108.917
400,1550,1106.962
350,1600,1105.006
300,1650,1103.05
250,1700,1102.009
200,1750,1101.759
150,1800,1101.51
100,1850,1101.299
50,1900,1101.423
0,1950,1101.548
-50,2000,1101.673
-100,2050,1101.798
-150,2100,1101.923
-200,2150,1102.048
-250,2200,1099.379
-300,2250,1087.727
-350,2300,1076.075
-400,2350,1064.423
-450,2400,1067.23
-500,2450,1073.555
-550,2500,1079.88
-600,2550,1086.206
-650,2600,1092.531
-700,2650,1098.856
-750,2700,1105.181
-800,2750,1092.686
-850,2800,1078.954
-900,2850,1065.222
-950,2900,1061.646
-1000,2950,1068.013
-1050,3000,1074.38
-1100,3050,1080.746
-1150,3100,1087.113
-1200,3150,1093.48
-1250,3200,1099.847
-1300,3250,1098.604
-1350,3300,1093.07
-1400,3350,1087.535
-1450,3400,1086.481
-1500,3450,1102.653
-1550,3500,1118.826
-1600,3550,1134.998
-1650,3600,1151.171
-1700,3650,1167.343
-1750,3700,1183.516
-1800,3750,1199.688
-1850,3800,1215.861
-1900,3850,1196.465
-1950,3900,1167.002
-2000,3950,1137.539
-2050,4000,1108.076
-2100,4050,1098.164
-2150,4100,1103.249
-2200,4150,1108.335
-2250,4200,1113.421
-2300,4250,1118.506
-2350,4300,1123.592
-2400,4350,1128.678
-2450,4400,1133.763
-2500,4450,1140.059
-2550,4500,1153.858
-2600,4550,1167.658
-2650,4600,1181.457
-2700,4650,1195.256
-2750,4700,1176.834
-2800,4750,1155.813
-2850,4800,1134.792
-2900,4850,1113.771
-2950,4900,1096.588
-3000,4950,1080.958
-3050,5000,1065.328
-3100,5050,1049.698
-3150,5100,1065.529
-3200,5150,1113.03
-3250,5200,1160.53
-3300,5250,1208.03
-3350,5300,1235.761
-3400,5350,1213.859
-3450,5400,1191.956
-3500,5450,1170.054
-3550,5500,1147.263
-3600,5550,1112.913
-3650,5600,1078.563
-3700,5650,1044.213
-3750,5700,1009.863
-3800,5750,989.362
-3850,5800,1021.072
-3900,5850,1052.781
-3950,5900,1084.49
-4000,5950,1116.199
-4050,6000,1147.909
-4100,6050,1143.041
-4150,6100,1122.48
-4200,6150,1101.92
-4250,6200,1081.359
-4300,6250,1060.799
-4350,6300,1042.766
-4400,6350,1035.517
-4450,6400,1028.267
-4500,6450,1021.018
-4550,6500,1013.769
-4600,6550,1006.519
-4650,6600,999.27
-4700,6650,992.02
-4750,6700,984.771
-4800,6750,977.521
-4850,6800,970.272
-4900,6850,963.023
-4950,6900,955.773
-5000,6950,948.524
-5050,7000,941.274
-5100,7050,934.025
-5150,7100,926.776
-5200,7150,919.526
-5250,7200,912.277
-5300,7250,905.027
-5350,7300,897.778
-5400,7350,890.528
-5450,7400,883.279
-5500,7450,876.03
-5550,7500,868.78
-5600,7550,864.145
-5650,7600,872.907
-5700,7650,881.669
-5750,7700,890.431
-5800,7750,899.193
-5850,7800,907.954
-5900,7850,916.716
-5950,7900,925.478
-6000,7950,934.24
-6050,8000,943.002
-6100,8050,951.764
-6150,8100,960.526
-6200,8150,969.288
-6250,8200,978.05
-6300,8250,986.812
-6350,8300,995.574
-6400,8350,1004.336
-6450,8400,1013.098
-6500,8450,1021.86
-6550,8500,1030.622
-6600,8550,1039.383
-6650,8600,1048.145
-6700,8650,1056.907
-6750,8700,1065.669
-6800,8750,1074.431
-6850,8800,1083.193
-6900,8850,1082.281
-6950,8900,1078.601
-7000,8950,1074.921
-7050,9000,1071.24
-7100,9050,1067.56
-7150,9100,1063.88
-7200,9150,1060.199
-7250,9200,1056.519
-7300,9250,1052.839
-7350,9300,1049.158
-7400,9350,1045.478
-7450,9400,1041.798
-7500,9450,1037.888
-7550,9500,1031.495
-7600,9550,1025.102
-7650,9600,1018.709
-7700,9650,1012.317
-7750,9700,1005.924
-7800,9750,999.531
-7850,9800,993.138
-7900,9850,986.746
-7950,9900,980.353
-8000,9950,973.96
-8050,10000,967.567
-8100,10050,961.174
-8150,10100,953.963
-8200,10150,945.479
-8250,10200,936.996
-8300,10250,928.513
-8350,10300,920.029
-8400,10350,911.546
-8450,10400,903.063
-8500,10450,894.579
-8550,10500,886.096
-8600,10550,877.612
-8650,10600,870.041
-8700,10650,865.398
-8750,10700,860.755
-8800,10750,856.113
-8850,10800,851.47
-8900,10850,846.828
-8950,10900,842.185
-9000,10950,837.542
-9050,11000,832.9
