depth (cm),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (unitless),notes (unitless)
26,Carbon-14,111040,60,2350,charcoal and wood,NA
50,Carbon-14,111041,70,4970,charcoal,NA
