year (AD),age (BP),temperature (degC),Pollen_T (degC),SHCal04Age (BP),ageUncertainty (yr)
1989,-39,8.969,8.969,5.356,27.777
1983,-33,9.014,9.014,10.611,36.806
1974.625,-24.625,8.809,8.809,15.889,42.193
1963.875,-13.875,9.037,9.037,21.181,45.267
1953.125,-3.125,8.952,8.952,26.485,46.496
1942.375,7.625,8.837,8.837,31.8,46.029
1931.625,18.375,8.802,8.802,37.126,43.815
1920.875,29.125,8.913,8.913,42.465,39.565
1910.125,39.875,9.178,9.178,47.822,32.492
1899.375,50.625,9.137,9.137,53.214,19.772
1826.286,123.714,9.138,9.138,128.65,98.727
1690.857,259.143,9.013,9.013,274.349,140.464
1555.429,394.571,8.762,8.762,420.18,130.01
1420,530,8.993,8.993,566.297,29.63
1378.353,571.647,8.912,8.912,593.331,68.396
1336.706,613.294,9.072,9.072,620.423,86.436
1295.059,654.941,8.972,8.972,647.526,96.69
1253.412,696.588,8.902,8.902,674.638,101.559
1211.765,738.235,8.95,8.95,701.757,101.797
1170.118,779.882,9.123,9.123,728.884,97.393
1128.471,821.529,8.99,8.99,756.021,87.547
1086.824,863.176,8.998,8.998,783.176,69.614
1038.762,911.238,9.044,9.044,828.014,87.24
984.286,965.714,9.071,9.071,891.097,123.11
929.81,1020.19,9.029,9.029,954.318,144.197
875.33,1074.67,9.055,9.055,1017.607,156.836
820.86,1129.14,8.888,8.888,1080.945,163.09
766.38,1183.62,8.871,8.871,1144.325,163.742
711.9,1238.1,8.918,8.918,1207.747,158.903
657.43,1292.57,9.058,9.058,1271.214,148.073
602.95,1347.05,9.17,9.17,1334.738,129.81
548.48,1401.52,8.927,8.927,1398.351,100.217
494,1456,8.905,8.905,1462.4,39.794
441.18,1508.82,9.013,9.013,1518.687,98.449
388.35,1561.65,8.878,8.878,1575.058,130.229
335.53,1614.47,8.989,8.989,1631.444,152.742
282.71,1667.29,9.002,9.002,1687.839,169.682
229.88,1720.12,8.945,8.945,1744.24,182.586
