depth (cm),age (BP),ELA (mm),bulk density (g cm-1),ELA_alt (mm),error (missing)
1,-50,1399064.099,0.738,-13.369,30
2,-30,1402111.823,0.74,1273141.534,30
3,-20,1398015.96,0.746,1283907.894,30
4,-16,1392123.53,0.776,1277240.813,30
5,-7,1391541.557,0.782,1268333.71,30
6,9,1375057.935,0.73,1248047.611,30
7,24,1317907.034,0.75,1249102.167,30
8,36,1273293.938,0.76,1244345.235,30
9,50,1236269.812,0.777,1249483.308,30
10,79.257,1201071.53,0.823,1249563.136,30
11,85.824,1189992.674,0.877,1232643.001,30
12,92.391,1184308.812,0.869,1227707.345,30
13,98.958,1179046.423,0.861,1210534.392,30
14,105.525,1163704.185,0.875,1214850.707,30
15,112.092,1183845.755,0.854,1225603.97,30
16,118.659,1169007.785,0.893,1227825.198,30
17,125.226,1172867.66,0.883,1218085.319,30
18,131.793,1173252.726,0.904,1223773.333,30
19,138.36,1186649.328,0.816,1227100.387,30
20,144.927,1162050.582,0.896,1220690.807,30
21,151.494,1164629.352,0.881,1237903.638,30
22,158.061,1160428.347,0.882,1237453.251,30
23,164.628,1150581.728,0.866,1242133.387,30
24,171.195,1147135.744,0.887,1233016.235,30
25,177.763,1139005.106,0.888,1231201.716,30
26,184.33,1135022.292,0.893,1226829.516,30
27,190.897,1132117.176,0.91,1221101.609,30
28,197.464,1137689.074,0.875,1227708.009,30
29,204.031,1140636.045,0.91,1226739.677,30
30,210.598,1142700.711,0.899,1230931.311,30
31,217.165,1148571.927,0.901,1230170.952,30
32,223.732,1163881.964,0.893,1220736.853,30
33,230.299,1157916.144,0.866,1235154.336,30
34,236.866,1164283.511,0.903,1231001.262,30
35,243.433,1185709.409,0.882,1230182.185,30
36,250,1210391.825,0.856,1243906.736,30
37,262.667,1241403.336,0.909,1250611.931,30
38,275.333,1307178.431,0.847,1260680.057,30
39,288,1347092.774,0.841,1257520.378,30
40,310,1369855.691,0.812,1245648.606,30
41,313.333,1393009.166,0.77,1272798.019,30
42,326,1400152.142,0.733,1276986.67,30
43,338.667,1382819.666,0.743,1292188.914,30
44,351.333,1369029.231,0.783,1301667.136,30
45,364,1357919.329,0.753,1297568.445,30
46,376.667,1342744.381,0.751,1297441.149,30
47,389.333,1344623.032,0.775,1293046.173,30
48,402,1340723.204,0.777,1284976.586,30
49,414.667,1349368.674,0.811,1285572.819,30
50,427.333,1359782.178,0.792,1290020.054,30
51,440,1377024.75,0.746,1291303.455,30
52,452.667,1355888.665,0.785,1292185.094,30
53,465.333,1358891.465,0.755,1301828.089,30
54,478,1331875.342,0.784,1302311.616,30
55,490.667,1297698.921,0.748,1285809.32,30
56,503.333,1244682.476,0.799,1282730.165,30
57,516,1200664.298,0.777,1280287.172,30
58,528.667,1142628.216,0.823,1288442.603,30
59,541.333,1101351.569,0.873,1263873.621,30
60,554,1083037.168,0.89,1252209.477,30
61,566.667,1086793.873,0.92,1245361.113,30
62,579.333,1086043.63,0.942,1228407.452,30
63,592,1095684.079,0.945,1218438.267,30
64,604.667,1125232.087,0.927,1216972.053,30
65,617.333,1144908.192,0.878,1218244.504,30
66,630,1146300.294,0.922,1211106.111,30
67,644.274,1156255.662,0.913,1222877.708,30
68,658.548,1151451.759,0.857,1220860.641,30
69,672.821,1144736.112,0.869,1221160.48,30
70,687.095,1139520.622,0.873,1229518.488,30
71,701.369,1122791.705,0.893,1227648.754,30
72,715.643,1120943.509,0.926,1227745.024,30
73,729.917,1129018.586,0.875,1231129.639,30
74,744.19,1133123.47,0.884,1231286.292,30
75,758.464,1151958.081,0.922,1228785.871,30
76,772.738,1181549.047,0.898,1231503.692,30
77,787.012,1211139.597,0.902,1232015.586,30
78,801.286,1232023.234,0.863,1237107.765,30
79,815.56,1233619.18,0.829,1246107.379,30
80,829.833,1226878.449,0.836,1241568.13,30
81,844.107,1229250.695,0.814,1258011.798,30
82,858.381,1247062.728,0.844,1256087.868,30
83,872.655,1274711.155,0.858,1250618.627,30
84,886.929,1304729.828,0.847,1238727.57,30
85,901.202,1336743.983,0.829,1241396.335,30
86,915.476,1346149.696,0.765,1257270.648,30
87,929.75,1340486.362,0.769,1274156.339,30
88,944.024,1335720.8,0.778,1280732.409,30
89,958.298,1317677.811,0.763,1273461.834,30
90,972.571,1294644.995,0.805,1268320.311,30
91,986.845,1286172.135,0.779,1277521.733,30
92,1001.119,1251965.093,0.781,1302171.682,30
93,1015.393,1220980.737,0.824,1290541.222,30
94,1029.667,1213256.128,0.823,1262051.328,30
95,1043.94,1212255.371,0.827,1262845.679,30
96,1058.214,1215510.055,0.87,1258465.73,30
97,1072.488,1248594.057,0.865,1248878.339,30
98,1086.762,1285082.417,0.845,1237875.73,30
99,1101.036,1317522.414,0.825,1236065.992,30
100,1115.31,1342093.931,0.817,1245596.211,30
101,1129.583,1359788.273,0.779,1239027.272,30
102,1143.857,1324226.692,0.767,1253789.626,30
103,1158.131,1291118.916,0.76,1300786.349,30
104,1172.405,1226880.7,0.762,1309245.777,30
105,1186.679,1179915.65,0.772,1316409.203,30
106,1200.952,1134721.025,0.869,1320634.463,30
107,1215.226,1139562.967,0.852,1310655.917,30
108,1229.5,1129123.617,0.932,1302542.911,30
109,1243.774,1149383.15,0.892,1293808.579,30
110,1258.048,1154257.961,0.902,1333188.149,30
111,1272.321,1171152.998,0.854,1349505.283,30
112,1286.595,1179189.314,0.882,1318750.049,30
113,1300.869,1205832.617,0.873,1304941.203,30
114,1315.143,1220199.7,0.878,1296392.039,30
115,1329.417,1244633.267,0.853,1316034.683,30
116,1343.69,1269282.947,0.831,1354100.097,30
117,1357.964,1315723.02,0.807,1365475.569,30
118,1372.238,1372394.556,0.833,1342194.839,30
119,1386.512,1436573.413,0.81,1323692.328,30
120,1400.786,1468310.114,0.786,1332573.533,30
121,1415.06,1509771.372,0.709,1358150.799,30
122,1429.333,1498637.142,0.663,1375074.362,30
123,1443.607,1511405.285,0.676,1353206.543,30
124,1457.881,1531397.482,0.735,1339430.826,30
125,1472.155,1539872.826,0.69,1364596.308,30
126,1486.429,1538424.246,0.734,1430710.176,30
127,1500.702,1519118.422,0.633,1480948.741,30
128,1514.976,1415833.332,0.63,1507331.062,30
129,1529.25,1332210.816,0.716,1509927.368,30
130,1543.524,1316506.635,0.693,1442374.23,30
131,1557.798,1310266.165,0.777,1387911.185,30
132,1572.071,1349741.304,0.874,1370085.507,30
133,1586.345,1422389.689,0.838,1403907.817,30
134,1600.619,1442472.832,0.756,1413372.324,30
135,1614.893,1468148.522,0.708,1402519.126,30
136,1629.167,1475077.283,0.675,1407099.2,30
