depth (cm),year (AD),age (BP)
36.032,1990.6,-40.6
36.51,1961.8,-11.8
42.888,1932.9,17.1
36.142,1896.1,53.9
36.523,1859.3,90.7
29.427,1823.5,126.5
39.154,1788.6,161.4
26.112,1753.7,196.3
32.017,1673.2,276.8
23.044,1592.7,357.3
20.313,1530.5,419.5
18.171,1486.4,463.6
14.718,1442.3,507.7
10.767,1398,552
10.684,1353.6,596.4
6.193,1315.6,634.4
10.483,1299.7,650.3
5.814,1283.7,666.3
10.652,1267.8,682.2
9.415,1251.9,698.1
6.933,1246.5,703.5
6.69,1241.1,708.9
11.16,1235.7,714.3
18.428,1230.2,719.8
43.033,1224.8,725.2
12.12,1213.1,736.9
12.766,1201.5,748.5
18.581,1189.8,760.2
26.22,1178.1,771.9
31.32,1166.4,783.6
40.113,1150.8,799.2
34.58,1135.2,814.8
45.283,1119.6,830.4
41.176,1104,846
37.13,1088.4,861.6
39.349,1069.6,880.4
38.477,1050.9,899.1
38.287,1032.1,917.9
46.623,1013.4,936.6
42.638,994.6,955.4
40.608,259.8,1690.2
44.629,197.4,1752.6
44.729,134.9,1815.1
39.767,72.4,1877.6
14.511,9.9,1940.1
5.594,-52.5,2002.5
36.381,-115,2065
42.452,-177.5,2127.5
27.796,-239.9,2189.9
41.277,-302.4,2252.4
33.403,-364.9,2314.9
32.179,-401.5,2351.5
32.769,-438.2,2388.2
36.853,-474.8,2424.8
39.069,-511.4,2461.4
20.153,-548.1,2498.1
34.514,-579.45,2529.45
35.541,-642,2592
35.897,-704.6,2654.6
34.256,-767.15,2717.15
31.911,-833.9,2783.9
35.133,-904.9,2854.9
25.122,-975.9,2925.9
32.116,-1046.9,2996.9
40.908,-1117.9,3067.9
40.495,-1186.05,3136.05
42.961,-1251.3,3201.3
46.186,-1316.55,3266.55
39.516,-1381.85,3331.85
43.585,-1447.1,3397.1
40.207,-1526.4,3476.4
41.26,-1619.75,3569.75
40.871,-1713.1,3663.1
39.616,-1806.45,3756.45
28.825,-2500,4450
37.731,-2601.1,4551.1
35.727,-2680.25,4630.25
44.285,-2759.35,4709.35
46.191,-2838.5,4788.5
37.79,-2917.65,4867.65
24.937,-2968.6,4918.6
17.558,-2991.4,4941.4
18.435,-3014.2,4964.2
17.31,-3037,4987
13.626,-3059.8,5009.8
14.66,-3075.45,5025.45
18.877,-3083.95,5033.95
11.846,-3092.45,5042.45
16.928,-3100.9,5050.9
17.424,-3109.35,5059.35
14.978,-3134.95,5084.95
14.42,-3177.7,5127.7
15.414,-3220.45,5170.45
19.589,-3263.15,5213.15
20.902,-3305.85,5255.85
19.388,-3340.8,5290.8
21.239,-3367.95,5317.95
27.858,-3395.1,5345.1
21.443,-3422.25,5372.25
17.42,-3449.4,5399.4
25.688,-3473.4,5423.4
30.113,-3494.2,5444.2
25.201,-3514.95,5464.95
26.655,-3535.7,5485.7
21.386,-3556.5,5506.5
24.071,-3582.3,5532.3
23.92,-3613.05,5563.05
34.954,-3643.8,5593.8
38.355,-3674.6,5624.6
36.537,-3705.35,5655.35
22.483,-3732.8,5682.8
27.536,-3757,5707
41.722,-3781.2,5731.2
32.792,-3805.4,5755.4
30.3,-3829.55,5779.55
21.705,-3858.7,5808.7
12.284,-3892.9,5842.9
14.444,-3927.05,5877.05
26.689,-3961.2,5911.2
26.874,-3995.35,5945.35
16.002,-4019.45,5969.45
18.52,-4033.5,5983.5
26.105,-4047.5,5997.5
25.834,-4061.5,6011.5
27.398,-4075.5,6025.5
25.484,-4092.4,6042.4
24.05,-4112.25,6062.25
33.003,-4132.1,6082.1
28.768,-4151.95,6101.95
32.095,-4171.8,6121.8
17.579,-4195.9,6145.9
12.245,-4224.35,6174.35
11.712,-4252.8,6202.8
13.583,-4281.25,6231.25
15.141,-4309.7,6259.7
15.181,-4331.45,6281.45
14.538,-4346.55,6296.55
13.98,-4361.7,6311.7
13.67,-4376.85,6326.85
9.156,-4391.95,6341.95
7.83,-4407.5,6357.5
7.546,-4423.5,6373.5
10.827,-4439.45,6389.45
17.285,-4455.4,6405.4
21.341,-4471.4,6421.4
14.845,-4493.4,6443.4
16.258,-4521.45,6471.45
17.887,-4549.55,6499.55
17.749,-4577.6,6527.6
16.236,-4605.65,6555.65
18.91,-4624.75,6574.75
12.941,-4634.85,6584.85
18.312,-4645,6595
29.514,-4655.15,6605.15
27.48,-4665.25,6615.25
20.379,-4671.65,6621.65
21.426,-4674.4,6624.4
12.842,-4677.2,6627.2
16.999,-4679.95,6629.95
16.647,-4682.7,6632.7
15.605,-4692.8,6642.8
13.796,-4710.15,6660.15
15.447,-4727.45,6677.45
11.1,-4744.8,6694.8
15.075,-4762.15,6712.15
7.276,-4774.05,6724.05
10.729,-4780.55,6730.55
11.179,-4787,6737
17.645,-4793.45,6743.45
16.48,-4799.95,6749.95
12.098,-4806.65,6756.65
13.919,-4813.55,6763.55
11.082,-4820.45,6770.45
11.97,-4827.35,6777.35
24.062,-4834.25,6784.25
16.541,-4839.75,6789.75
25.305,-4843.85,6793.85
20.985,-4847.95,6797.95
28.488,-4856.05,6806.05
17.697,-4874.45,6824.45
10.927,-4896.25,6846.25
12.373,-4918.65,6868.65
22.473,-4942.85,6892.85
19.757,-4967.05,6917.05
24.13,-4997.75,6947.75
11.983,-5030.7,6980.7
23.129,-5059.8,7009.8
20.507,-5077.3,7027.3
11.823,-5094.9,7044.9
4.093,-5109.85,7059.85
