depth (cm),age (yr 14C yr BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-40,25.9,7.014,16.143,399
10,-26.1,25.5,8,16.408,380.714
20,-12.3,23.057,5.8,13.888,403.429
30,1.6,25.186,7.843,16.175,379
40,3,24,8.171,15.496,411
50,21.5,22.986,10.171,16.039,418
60,57.5,23.586,4.829,13.818,364.857
80,129.6,23.371,2.886,12.858,344.571
100,143.4,25.4,5.957,15.375,358.143
120,336.6,24.229,6.414,14.924,403.571
140,547.6,24.614,6.643,15.217,409
170,1105.6,23.729,7.014,14.92,406.143
183,1347.4,24.043,7.614,15.356,378.857
200,1663.6,25.286,7.371,15.966,389.429
218,1965.2,23.8,4.086,13.577,353.714
240,2325.7,25.686,6.271,15.517,323.857
260,2653.4,24.229,6.414,14.924,403.571
280,2972.5,23.071,6.329,14.187,402.571
300,3283.1,22.7,8.657,15.113,385.143
320,3593.6,23.086,8.886,15.406,390.571
340,3780.9,25.286,7.371,15.966,389.429
360,3901.8,25.286,7.371,15.966,389.429
380,4022.8,25.057,5.229,14.837,393
401,4149.7,25.571,8.043,16.46,369.857
420,4327.3,25.286,6.886,15.843,336.429
440,4517.9,25.029,6.686,15.6,350.286
460,4708.5,25.929,6.929,15.96,318
480,4924.8,25.014,8.543,16.363,350.857
501,5341,25.929,7.443,16.432,330.857
513,5578.8,24.686,8.171,15.945,373.286
530,5915.7,25.429,5.429,15.096,395.286
540,6113.9,24.714,3.957,13.995,383
