year (AD),age (BP),MTWM (degC)
1900,50,22.152
1850,100,21.85
1800,150,21.523
1750,200,21.425
1700,250,21.707
1650,300,21.837
1600,350,21.944
1550,400,22.013
1500,450,22.057
1450,500,22.106
1400,550,22.163
1350,600,22.202
1300,650,22.081
1250,700,21.961
1200,750,21.991
1150,800,22.048
1100,850,21.985
1050,900,21.839
1000,950,21.764
950,1000,21.828
900,1050,21.901
850,1100,22.091
800,1150,22.282
750,1200,22.194
700,1250,22.048
650,1300,21.968
600,1350,21.936
550,1400,21.938
500,1450,22.014
450,1500,22.09
400,1550,22.153
350,1600,22.216
300,1650,22.142
250,1700,22.034
200,1750,22.031
150,1800,22.113
100,1850,22.132
50,1900,21.999
0,1950,21.874
-50,2000,21.936
-100,2050,21.824
-150,2100,21.743
-200,2150,21.743
-250,2200,21.73
-300,2250,22.028
-350,2300,22.012
-400,2350,21.957
-450,2400,22.041
-500,2450,22.114
-550,2500,22
-600,2550,21.848
-650,2600,22.069
-700,2650,21.918
-750,2700,21.75
-800,2750,21.854
-850,2800,21.901
-900,2850,21.944
-950,2900,21.995
-1000,2950,22.057
-1050,3000,21.985
-1100,3050,21.89
-1150,3100,21.925
-1200,3150,21.969
-1250,3200,22.022
-1300,3250,21.929
-1350,3300,21.845
-1400,3350,21.854
-1450,3400,21.857
-1500,3450,21.857
-1550,3500,21.91
-1600,3550,21.904
-1650,3600,21.799
-1700,3650,21.836
-1750,3700,21.902
-1800,3750,21.797
-1850,3800,21.828
-1900,3850,22.004
-1950,3900,21.87
-2000,3950,21.729
-2050,4000,21.729
-2100,4050,21.835
-2150,4100,22.01
-2200,4150,22.246
-2250,4200,22.354
-2300,4250,22.222
-2350,4300,22.129
-2400,4350,22.053
-2450,4400,22.009
-2500,4450,22.006
-2550,4500,22.245
-2600,4550,22.568
-2650,4600,22.299
-2700,4650,22.227
-2750,4700,22.62
-2800,4750,22.58
-2850,4800,22.436
-2900,4850,22.306
-2950,4900,22.236
-3000,4950,22.286
-3050,5000,22.277
-3100,5050,22.124
-3150,5100,22.097
-3200,5150,22.209
-3250,5200,22.335
-3300,5250,22.407
-3350,5300,22.237
-3400,5350,22.35
-3450,5400,22.328
-3500,5450,22.161
-3550,5500,22.213
-3600,5550,22.332
-3650,5600,22.096
-3700,5650,22.255
-3750,5700,22.5
-3800,5750,22.187
-3850,5800,22.038
-3900,5850,22.272
-3950,5900,22.488
-4000,5950,22.175
-4050,6000,22.557
-4100,6050,22.671
-4150,6100,22.57
-4200,6150,22.333
-4250,6200,22.507
-4300,6250,22.473
-4350,6300,22.375
-4400,6350,22.333
-4450,6400,22.614
-4500,6450,22.653
-4550,6500,22.578
-4600,6550,22.471
-4650,6600,22.471
-4700,6650,22.412
-4750,6700,22.434
-4800,6750,22.569
-4850,6800,22.606
-4900,6850,22.566
-4950,6900,22.531
-5000,6950,22.559
-5050,7000,22.588
-5100,7050,22.607
-5150,7100,22.618
-5200,7150,22.633
-5250,7200,22.679
-5300,7250,22.725
-5350,7300,22.666
-5400,7350,22.539
-5450,7400,22.429
-5500,7450,22.435
-5550,7500,22.441
-5600,7550,22.439
-5650,7600,22.433
-5700,7650,22.407
-5750,7700,22.264
-5800,7750,22.12
-5850,7800,22.109
-5900,7850,22.167
-5950,7900,22.262
-6000,7950,22.538
-6050,8000,22.813
-6100,8050,22.762
-6150,8100,22.561
-6200,8150,22.384
-6250,8200,22.304
-6300,8250,22.223
-6350,8300,22.302
-6400,8350,22.446
-6450,8400,22.548
-6500,8450,22.508
-6550,8500,22.468
-6600,8550,22.389
-6650,8600,22.298
-6700,8650,22.224
-6750,8700,22.207
-6800,8750,22.19
-6850,8800,22.098
-6900,8850,21.983
-6950,8900,21.966
-7000,8950,22.207
-7050,9000,22.449
-7100,9050,22.324
-7150,9100,22.1
-7200,9150,21.972
-7250,9200,22.07
-7300,9250,22.167
-7350,9300,22.069
-7400,9350,21.926
-7450,9400,21.849
-7500,9450,21.912
-7550,9500,21.975
-7600,9550,22.024
-7650,9600,22.07
-7700,9650,22.058
-7750,9700,21.937
-7800,9750,21.817
-7850,9800,21.815
-7900,9850,21.832
-7950,9900,21.841
-8000,9950,21.835
-8050,10000,21.829
-8100,10050,21.803
-8150,10100,21.774
-8200,10150,21.764
-8250,10200,21.781
-8300,10250,21.799
-8350,10300,21.758
-8400,10350,21.712
-8450,10400,21.678
-8500,10450,21.661
-8550,10500,21.644
-8600,10550,21.384
-8650,10600,21.109
-8700,10650,20.9
-8750,10700,20.774
-8800,10750,20.647
-8850,10800,20.217
-8900,10850,19.775
-8950,10900,19.832
-9000,10950,19.82
-9050,11000,20.194
