depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated ()
0,0,0,NA,NA,0,2,NA
999.5,9990,10000,870,40,10,1,1
1029.75,10295,10300,2200,35,5,1,1
1059.75,10595,10600,3620,40,5,1,1
1091.75,10915,10920,4715,45,5,1,1
1119.75,11195,11200,5960,80,5,1,1
1146.75,11465,11470,7825,55,5,1,1
1158.75,11585,11590,8645,60,5,1,1
1167,11665,11675,9190,60,10,1,1
1175,11745,11755,9725,65,10,1,1
1184.75,11840,11855,10695,65,15,1,1
