age (BP),temperature (degC),temperature (degC),depth_merged (m)
2034.7,-1.56,2.37,0.005
2268.2,-1.64,1.98,0.105
2499.1,-1.57,2.45,0.205
2727.1,-1.69,2.68,0.305
2952.3,-1.67,1.88,0.405
3174.9,-1.62,1.98,0.505
3394.5,-1.54,4.8,0.605
3611.5,-1.55,1.6,0.705
3825.5,-1.35,2.19,0.805
4036.8,-1.41,4.41,0.905
4245.4,-1.33,5.29,1.005
4451,-1.51,3.04,1.105
4654.1,-1.57,2.19,1.205
4854.1,-1.32,2.85,1.305
5051.5,-1.52,4.97,1.405
5246.1,-1.52,2.4,1.505
5437.8,-1.64,3.49,1.605
5626.9,-1.81,3.31,1.705
5812.9,-1.66,2.93,1.805
5996.4,-1.6,2.73,1.905
6177,-1.69,3.57,2.005
6354.8,-1.47,4.1,2.105
6529.9,-1.53,5.6,2.205
6702.1,-1.46,5.67,2.305
6871.6,-1.46,5.73,2.405
7038.2,-1.58,2.29,2.505
7202.1,-1.35,2.71,2.605
7363.2,-1.44,2.42,2.705
7521.4,-1.58,1.92,2.805
7677.1,-1.58,1.5,2.905
7829.6,-1.43,1.81,3.005
7979.6,-1.67,3.13,3.105
8126.7,-1.71,2.01,3.205
8271,-1.41,3.16,3.305
8412.6,-1.62,1.33,3.405
8551.3,-1.61,1.01,3.505
8687.4,-1.39,1.48,3.605
8820.4,-1.65,1.3,3.705
8950.8,-1.71,1.02,3.805
9078.5,-1.73,0.49,3.905
9203.2,-1.76,1.23,4.005
9325.4,-1.74,1.05,4.105
9444.4,-1.77,0.78,4.205
9560.9,-1.7,1.06,4.305
9674.6,-1.69,0.82,4.405
9785.4,-1.36,0.74,4.505
9893.6,-1.81,0.97,4.605
9998.7,-1.74,1.02,4.705
10101,-1.81,0.98,4.805
10201,-1.34,1.66,4.905
10298,-1.35,1.65,5.005
10392,-1.35,1.66,5.105
10483,-1.86,0.66,5.205
10572,-1.59,1.47,5.305
10657,-1.86,0.66,5.405
10740,-1.66,0.98,5.505
10821,-1.52,1.78,5.605
