year (AD),age (BP),temperature (degC),age14C (BP),Uk37 (missing)
1813,137,20.529,46,0.737
1715,235,20.662,92,0.741
1617,333,20.515,139,0.736
1519,431,20.485,185,0.736
1452,498,20.632,231,0.741
1417,533,20.647,277,0.741
1382,568,20.721,323,0.743
1347,603,20.75,369,0.744
1312,638,20.809,416,0.746
1275,675,20.647,488,0.741
1238,712,20.132,561,0.723
1202,748,20.559,633,0.738
1165,785,19.691,706,0.709
1128,822,18.324,778,0.662
1087,863,19.706,851,0.709
1040,910,20.75,923,0.744
993,957,20.809,995,0.746
947,1003,20.735,1068,0.744
900,1050,20.75,1140,0.744
853,1097,20.941,1213,0.751
807,1143,20.706,1285,0.743
760,1190,20.529,1358,0.737
435,1515,20.676,1757,0.742
320,1630,20.353,1829,0.731
205,1745,20.456,1902,0.735
90,1860,20.721,1974,0.743
-25,1975,20.397,2047,0.733
-140,2090,20.25,2119,0.728
-320,2270,20.309,2210,0.73
-501,2451,20.441,2301,0.734
-682,2632,20.574,2392,0.738
-863,2813,20.294,2482,0.729
-1044,2994,20.735,2573,0.744
-1225,3175,20.5,2664,0.736
-1405,3355,20.088,2755,0.722
-1586,3536,20.603,2845,0.739
-1767,3717,20.618,2936,0.74
-1948,3898,20.456,3027,0.735
-2129,4079,20.632,3118,0.741
-2310,4260,20.926,3208,0.751
-2371,4321,21.324,3299,0.764
-2433,4383,20.926,3390,0.751
-2495,4445,20.368,3481,0.731
-2557,4507,20.632,3572,0.741
-2618,4568,20.735,3662,0.744
-2711,4661,20.353,3799,0.731
-2773,4723,20.706,3889,0.743
-2835,4785,20.941,3980,0.751
-2896,4846,20.544,4071,0.738
-2958,4908,20.618,4162,0.74
-3020,4970,20.721,4252,0.743
-3082,5032,21.544,4343,0.772
-3143,5093,21.103,4434,0.757
-3205,5155,21.132,4525,0.757
-3267,5217,20.956,4616,0.751
-3329,5279,20.618,4706,0.74
-3422,5372,20.882,4797,0.749
-3547,5497,20.588,4888,0.739
-3671,5621,20.75,4979,0.744
-3796,5746,20.794,5069,0.746
-3920,5870,21.147,5167,0.758
-4045,5995,21.338,5265,0.764
-4170,6120,21.529,5363,0.771
-4294,6244,21.544,5461,0.772
-4419,6369,21.265,5559,0.762
-4543,6493,21.103,5657,0.757
-4668,6618,21.235,5755,0.761
-4792,6742,21.221,5852,0.761
-4917,6867,21.015,5950,0.754
-5042,6992,20.897,6048,0.749
-5104,7054,21.309,6097,0.764
-5228,7178,21.441,6195,0.768
-5353,7303,21.515,6293,0.77
-5450,7400,21.294,6391,0.763
-5519,7469,21.147,6489,0.758
-5588,7538,21.309,6587,0.764
-5620,7570,21.412,6684,0.767
-5653,7603,21.353,6782,0.765
-5685,7635,21.221,6880,0.761
-5717,7667,21.353,6978,0.765
-5749,7699,21.206,7076,0.76
-5781,7731,21.279,7174,0.762
-5813,7763,21.103,7272,0.757
-5845,7795,21.235,7322,0.761
-5878,7828,21.221,7373,0.761
-5910,7860,21.132,7424,0.757
-5942,7892,20.926,7475,0.751
-6076,8026,20.971,7526,0.752
-6209,8159,20.426,7576,0.733
-6343,8293,20.279,7627,0.728
-6578,8528,20.985,7678,0.752
-6813,8763,20.324,7729,0.73
-7048,8998,20.176,7780,0.725
-7283,9233,20.118,7830,0.723
-7518,9468,20.353,7881,0.731
-7681,9631,19.647,7932,0.707
-7843,9793,19.441,7983,0.7
-8006,9956,19.632,8033,0.707
-8141,10091,19.547,8084,0.704
-8250,10200,19.588,8135,0.705
-8358,10308,19.574,8186,0.704
-8467,10417,19.471,8237,0.701
-8575,10525,19.382,8287,0.698
-8684,10634,19.72,8338,0.71
-8792,10742,19.32,8389,0.7
-8901,10851,19.65,8440,0.71
-9010,10960,19.63,8491,0.71
-9118,11068,19.34,8541,0.7
-9227,11177,19.6,8592,0.71
-9336,11286,19.63,8643,0.71
-9423,11373,19.588,8694,0.705
-9490,11440,19.441,8744,0.7
-9556,11506,19.353,8795,0.697
-9623,11573,19.324,8846,0.696
-9689,11639,19.294,8897,0.695
-9756,11706,19.235,8948,0.693
-9822,11772,19.191,8998,0.691
-9955,11905,19.147,9100,0.69
-9989,11939,19.206,9049,0.692
-10022,11972,19.103,9253,0.689
-10221,12171,17.971,9711,0.65
-10288,12238,18.397,9864,0.665
-10355,12305,18.191,10017,0.658
-10421,12371,18,10124,0.651
-10487,12437,17.706,10177,0.641
-10554,12504,18.118,10230,0.655
-10620,12570,18.206,10402,0.658
-10687,12637,18.132,10575,0.655
-10753,12703,17.926,10748,0.649
-10820,12770,18.397,10921,0.665
-10886,12836,18,11094,0.651
-10953,12903,18.647,11267,0.673
-11013,12963,18.618,11440,0.672
-11060,13010,18.912,11612,0.682
-11100,13050,18.588,11785,0.671
-11140,13090,18.588,11958,0.671
-11180,13130,18.353,12131,0.663
