depth (cm),age (Calibrated),temperature (degC),OriginalSampleID (missing),uncertaintyHigh (missing),uncertaintyLow (missing),ReliabIeYN1 (missing)
20,4234.52,11.129,20,12.205,10.052,Y
30,4562.32,10.575,30,11.657,9.492,Y
40,4890.12,10.345,40,11.456,9.233,Y
50,5217.92,10.003,50,11.096,8.91,Y
60,5545.72,9.109,60,10.206,8.013,Y
70,5873.52,9.66,70,10.769,8.552,Y
80,6201.32,9.535,80,10.607,8.462,Y
90,6529.12,10.376,90,11.477,9.275,Y
100,6856.92,9.27,100,10.365,8.175,Y
110,7184.72,8.915,110,10.013,7.818,Y
120,7512.52,9.293,120,10.382,8.204,Y
130,7840.32,9.676,130,10.743,8.61,Y
140,8168.12,9.118,140,10.194,8.043,Y
145,8332.02,8.623,145,9.731,7.516,Y
150,8495.92,9.214,150,10.29,8.139,Y
160,8823.72,8.509,160,9.611,7.407,Y
170,9151.52,8.79,170,9.871,7.709,Y
180,9479.32,10.07,180,11.196,8.944,Y
190,9807.12,7.847,190,9.027,6.667,Y
200,10187.488,8.012,200,9.124,6.9,Y
210,10296.288,7.312,210,8.467,6.158,Y
220,10405.088,7.07,220,8.191,5.948,Y
230,10513.888,6.811,230,7.963,5.66,Y
240,10622.688,7.305,240,8.511,6.099,Y
250,10731.488,5.342,250,6.553,4.13,Y
260,10840.288,4.286,260,5.556,3.016,Y
