depth (cm),age (BP),temperature (degC),S52 (missing)
1.5,-40,16.375,1
7.5,-27,16.207,1
15.5,3,16.374,1
25.5,83,14.394,1
27.5,105.727,15.176,1
35.5,387,12.487,1
37.5,404,13.875,1
39.5,421,16.624,1
41.5,438,14.923,1
45.5,811.6,15.566,1
47.5,863,15.979,1
51.5,965.8,15.694,1
57.5,1120,13.828,1
15.5,1051.824,14.298,1
25.5,1195.941,16.573,1
30.5,1268,16.637,1
40.5,1425.857,13.554,1
50.5,1657.385,12.529,1
60.5,1704.308,17.889,1
67.5,2063.75,15.068,1
71.5,2236.547,13.918,1
77.5,2446.941,16.312,1
83.5,2645.647,17.884,1
95.5,3080.087,18.497,1
106.5,3279.043,15.293,1
117.5,3478,17.813,1
123.5,3811.143,16.275,1
129.5,4074.082,15.147,1
146.5,4222.344,16.05,1
158.5,4327,18.963,1
162.5,4583,17.56,1
168.5,4967,13.898,1
171.5,5159,17.281,1
176.5,5479,16.356,1
180.5,5735,14.245,1
185,6023,17.094,1
188.5,6171.296,12.863,1
