year (AD),age (BP),temperature (degC)
1940,10,21.8
1870,80,21.4
1790,160,21.9
1720,230,22.1
1650,300,21.4
1610,340,22
1570,380,21.7
1530,420,22.4
1490,460,22.4
1470,480,22.2
1420,530,22.1
1390,560,22.3
1350,600,22.3
1320,630,22.5
1300,650,22.4
1280,670,22.5
1240,710,22.2
1180,770,22.1
1110,840,22.3
1070,880,22.4
1040,910,22.1
1000,950,22.3
970,980,22.2
900,1050,22.6
860,1090,22.6
820,1130,22.3
790,1160,22.1
750,1200,22
740,1210,22
720,1230,21.9
710,1240,22.2
690,1260,21.7
670,1280,22.1
660,1290,21.8
630,1320,22
630,1320,22.3
600,1350,22.4
570,1380,22.3
540,1410,22
490,1460,22.2
440,1510,21.9
390,1560,21.9
350,1600,21.9
300,1650,21.8
300,1650,21.9
250,1700,21.8
220,1730,22
140,1810,21.9
70,1880,21.4
0,1950,21.6
-90,2040,21.7
-250,2200,21.2
-340,2290,21.3
-420,2370,21.7
-560,2510,21.8
-620,2570,21.6
-680,2630,22.2
-770,2720,21.4
-930,2880,22.2
-1020,2970,21.1
-1070,3020,22.2
-1130,3080,21.9
-1190,3140,21.5
-1240,3190,21.5
-1340,3290,21.5
-1470,3420,21.3
-1550,3500,21.8
-1610,3560,22
-1670,3620,21.4
-1730,3680,21.7
-1780,3730,21.9
-1840,3790,21.3
-1920,3870,21.7
-1980,3930,22
-2060,4010,21.2
-2110,4060,21
-2180,4130,22
-2260,4210,21.7
-2360,4310,21.4
-2440,4390,20.7
-2510,4460,22.1
-2590,4540,21.2
-2660,4610,21.7
-2710,4660,21.4
-2790,4740,21.9
-2870,4820,21.4
-2940,4890,21.7
-3020,4970,22.1
-3120,5070,22.1
-3210,5160,21.2
-3280,5230,21.8
-3360,5310,21.8
-3440,5390,22.4
-3510,5460,21.9
-3600,5550,22.1
-3670,5620,21.7
-3740,5690,21.7
-3810,5760,21.5
-3840,5790,22
-3900,5850,21.9
-3970,5920,21.8
-4050,6000,22.1
-4080,6030,22.1
-4130,6080,21.6
-4180,6130,21.9
-4190,6140,21.4
-4280,6230,21.3
-4410,6360,21
-4440,6390,21
-4500,6450,21.2
-4570,6520,21.4
-4740,6690,21
-4930,6880,21.2
