depth (cm),dateType (),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr)
1,14C,planktic foraminifera calcite,N. dutertrei,KIA 25028,2.365,0.025
25,14C,planktic foraminifera calcite,N. dutertrei,KIA 25029,5.005,0.03
77,14C,planktic foraminifera calcite,N. dutertrei,KIA 25030,8.42,0.04
117,14C,planktic foraminifera calcite,N. dutertrei,KIA 25032,9.75,0.055
138,14C,planktic foraminifera calcite,N. dutertrei,KIA 29042,11.215,0.055
151,14C,planktic foraminifera calcite,N. dutertrei,KIA 28458,11.94,0.065
175,14C,planktic foraminifera calcite,N. dutertrei,KIA28459,12.98,0.06
223,14C,planktic foraminifera calcite,N. dutertrei,KIA 25033,14.85,0.07
231,14C,planktic foraminifera calcite,N. dutertrei,KIA 25034,14.91,0.08
263,14C,planktic foraminifera calcite,N. dutertrei,KIA 25035,16.79,0.08
291,14C,planktic foraminifera calcite,N. dutertrei,KIA 25036,18.15,0.09
318,14C,planktic foraminifera calcite,N. dutertrei,KIA 28460,19.17,0.13
350,14C,planktic foraminifera calcite,N. dutertrei,KIA 28461,22.14,0.175
362,14C,planktic foraminifera calcite,N. dutertrei,KIA 28462,23.31,0.17
442,14C,planktic foraminifera calcite,N. dutertrei,KIA 28464,28.58,0.305
486,14C,planktic foraminifera calcite,N. dutertrei,KIA 29040,33.58,0.57
516,14C,planktic foraminifera calcite,N. dutertrei,KIA 29041,34.73,0.655
