depth (m),age (BP),temperature (degC),temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.03,30,NA,15.86,0.14,1.86,NA,NA,NA,1.02,0.81,1.32
0.08,90,NA,15.4,0.1,1.99,NA,NA,NA,1.05,0.79,1.25
0.13,140,NA,15.32,0.11,1.91,NA,NA,NA,1.21,0.65,1.24
0.18,190,NA,14.96,0.08,1.98,NA,NA,NA,1.24,0.73,1.19
0.23,250,NA,14.87,0.22,1.95,NA,NA,NA,1.12,0.76,1.18
0.28,300,NA,15.18,0.23,1.92,NA,NA,NA,1.28,0.59,1.22
0.33,350,NA,14.87,0.2,1.99,NA,NA,NA,1.22,0.7,1.18
0.38,410,NA,15.69,0.22,1.88,NA,NA,NA,1.24,0.57,1.3
0.43,460,NA,15.79,0.11,1.81,NA,NA,NA,1.14,0.56,1.31
0.48,520,NA,14.51,0.18,1.97,NA,NA,NA,1.05,0.78,1.13
0.53,600,NA,15.28,0.24,2.06,NA,NA,NA,1.21,0.69,1.24
0.58,680,NA,14.77,0.19,1.88,NA,NA,NA,1.21,0.72,1.17
0.63,760,NA,15.22,-0.13,1.57,NA,NA,NA,1.14,0.72,1.23
0.68,850,NA,15.15,0.04,1.8,NA,NA,NA,1.13,0.58,1.22
0.73,930,NA,15.3,0.1,1.83,NA,NA,NA,1.04,0.76,1.24
0.78,1010,NA,15.14,0.12,1.97,NA,NA,NA,1.14,0.67,1.22
0.83,1090,NA,14.38,0.33,1.89,NA,NA,NA,1.18,0.61,1.12
0.88,1180,NA,14.85,0.17,1.9,NA,NA,NA,1.16,0.59,1.18
0.93,1260,NA,14.75,0.11,1.84,NA,NA,NA,1.15,0.73,1.17
0.98,1340,NA,15.61,0.21,1.92,NA,NA,NA,1.25,0.55,1.28
1.03,1420,NA,15.38,0.3,1.86,NA,NA,NA,1.13,0.61,1.25
1.08,1510,NA,15.22,0.14,1.76,NA,NA,NA,1.16,0.7,1.23
1.13,1590,NA,16.32,0.09,1.89,NA,NA,NA,1.17,0.73,1.39
1.18,1670,NA,15.63,0.02,1.8,NA,NA,NA,1.18,0.58,1.29
1.23,1750,NA,15.96,0.16,1.9,NA,NA,NA,1.1,0.66,1.34
1.28,1840,NA,14.73,0.05,1.77,NA,NA,NA,1.33,0.44,1.16
1.33,1920,NA,15.04,-0.04,1.73,NA,NA,NA,1.04,0.63,1.2
1.38,2000,NA,14.63,0.07,1.7,NA,NA,NA,1.12,0.57,1.15
1.43,2070,NA,16.15,0.29,1.88,NA,NA,NA,1.25,0.58,1.36
1.48,2140,NA,15.03,0.29,1.78,NA,NA,NA,1.22,0.62,1.2
1.53,2210,NA,15.59,0.19,1.87,NA,NA,NA,1.07,0.73,1.28
1.58,2280,NA,15.56,0.12,1.77,NA,NA,NA,1.27,0.7,1.28
1.63,2350,NA,15.68,0.16,1.8,NA,NA,NA,1.27,0.5,1.29
1.68,2420,NA,16.13,0.21,1.68,NA,NA,NA,1.24,0.61,1.36
1.73,2490,NA,14.39,0.16,1.75,NA,NA,NA,1.18,0.72,1.12
1.78,2560,NA,15.18,0.24,1.77,NA,NA,NA,1.27,0.72,1.22
1.83,2630,NA,15.8,0.12,1.9,NA,NA,NA,1.23,0.66,1.31
1.88,2700,NA,15.43,0.08,1.66,NA,NA,NA,1.25,0.48,1.26
1.93,2770,NA,15.25,-0.1,1.67,NA,NA,NA,1.14,0.63,1.23
1.98,2840,NA,15.41,0.18,1.69,NA,NA,NA,1.28,0.61,1.25
2.03,2920,NA,15.65,0.16,1.66,NA,NA,NA,1.22,0.63,1.29
2.08,3000,NA,16.19,0,1.7,NA,NA,NA,1.17,0.64,1.37
2.13,3080,20.7,15.87,0.46,1.91,NA,NA,2.79,1.22,0.59,1.32
2.18,3150,NA,16.32,0.12,1.79,NA,NA,NA,1.21,0.57,1.39
