depth (cm),age (BP),temperature (degC)
0,-48,13.925
0.5,13,11.977
1.5,74,11.967
2.5,135,12.279
3.5,196,13.86
4.5,257,13.37
5.5,318,12.737
6.5,379,14.602
7.5,440,14.043
8.5,501,13.001
9.5,562,13.535
10.5,623,13.104
11.5,684,12.257
12.5,745,13.08
13.5,806,14.996
14.5,867,13.908
15.5,928,14.02
16.5,989,13.822
17.5,1050,15.824
18.5,1111,15.372
19.5,1172,17.115
20.5,1263.259,15.403
21.5,1354.519,14.725
22.5,1445.778,17.621
23.5,1537.037,14.315
24.5,1628.296,13.202
25.5,1719.556,12.528
26.5,1810.815,14.624
27.5,1902.074,15.364
28.5,1993.333,17.078
29.5,2084.593,15.538
30.5,2175.852,14.528
31.5,2267.111,17.005
32.5,2358.37,16.769
33.5,2449.63,16.52
34.5,2540.889,16.398
35.5,2632.148,15.707
36.5,2723.407,16.736
37.5,2814.667,16.71
38.5,2905.926,15.143
39.5,2997.185,15.866
40.5,3088.445,16.495
41.5,3179.704,15.399
42.5,3270.963,16.426
43.5,3362.222,16.164
44.5,3453.482,17.027
45.5,3544.741,17.391
46.5,3636,15.655
47.5,3792,16.885
48.5,3948.24,14.707
49.5,4104.48,15.517
50.5,4260.72,16.343
51.5,4416.96,15.428
52.5,4573.2,15.927
53.5,4729.44,14.841
54.5,4885.68,15.187
55.5,5041.92,16.252
56.5,5198.16,15.255
57.5,5354.4,14.725
58.5,5510.64,14.078
59.5,5604,13.194
60.5,5633.294,15.891
61.5,5662.588,14.86
62.5,5691.882,14.077
63.5,5721.176,14.744
64.5,5750.471,14.045
65.5,5779.765,14.028
66.5,5809.059,14.965
67.5,5838.353,12.666
68.5,5867.647,13.761
69.5,5896.941,15.342
70.5,5926.235,13.665
71.5,5955.529,15.644
72.5,5984.824,15.401
73.5,6014.118,13.54
74.5,6043.412,14.013
75.5,6072.706,15.742
76.5,6102,14.13
77.5,6131.294,13.598
78.5,6160.588,13.85
79.5,6189.882,15.313
80.5,6219.176,15.237
81.5,6248.471,15.03
82.5,6277.765,14.854
83.5,6307.059,15.22
84.5,6336.353,14.924
85.5,6365.647,14.627
86.5,6394.941,14.388
87.5,6424.235,13.386
88.5,6453.529,13.509
89.5,6482.824,14.724
90.5,6512.118,12.132
91.5,6541.412,12.435
92.5,6570.706,12.724
93.5,6600,11.966
94.5,6629.294,10.291
95.5,6658.588,11.063
96.5,6687.882,14.591
97.5,6717.176,12.57
