depth (cm),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (unitless),notes (unitless)
25.5,Carbon-14,111382,40,1540,organic silt,NA
92.5,Carbon-14,111383,100,4080,organic silt,NA
