year (AD),age (BP),Pann (mm),Tann (degC),temperature (degC),temperature (degC)
1955,-5,321.8,-0.1,16.2,-18.7
1924.2,25.8,311.6,-0.3,16.1,-19
1893.4,56.6,310.8,-0.1,16.3,-18.7
1862.6,87.4,314.4,-0.2,16.3,-19
1831.8,118.2,306.3,-0.3,16.2,-19
1801.1,148.9,310.8,-0.2,16,-18.6
1770.3,179.7,289.7,-0.3,16.3,-19.2
1739.5,210.5,296.5,-0.1,16.4,-18.8
1708.7,241.3,291.5,-0.4,16,-19.2
1677.9,272.1,292.3,-0.4,15.9,-19.1
1647.1,302.9,287.2,-0.3,16.1,-19.1
1616.3,333.7,277.1,-0.4,15.9,-19
1585.5,364.5,317.2,-0.3,16.2,-19
1554.7,395.3,282.5,-0.2,16.2,-18.9
1523.9,426.1,272,-0.6,15.9,-19.5
1493.2,456.8,266.7,-0.7,15.8,-19.4
1462.4,487.6,273.7,-0.6,15.8,-19.4
1431.6,518.4,261.5,-0.6,16.1,-19.5
1400.8,549.2,270,-0.6,15.9,-19.4
1370,580,268.4,-0.4,16,-19.1
1352,598,261.1,-0.5,16.2,-19.4
1334,616,264.3,-0.8,15.8,-19.7
1316,634,272.8,-0.6,16,-19.5
1298,652,270.8,-0.7,15.9,-19.6
1280,670,267.2,-0.5,16,-19.3
1262,688,258.3,-0.6,15.9,-19.5
1244,706,270.1,-0.3,16.3,-19.1
1226,724,273.2,-0.4,16.1,-19.1
1208,742,274.1,-0.3,16.4,-19.1
1190,760,265.1,-0.3,16.5,-19.4
1172,778,271.3,-0.6,16.1,-19.6
1154,796,271.5,-0.4,16.2,-19.2
1136,814,264.6,-0.5,16.3,-19.5
1118,832,280.2,-0.4,16.3,-19.3
1100,850,269.4,-0.4,16.4,-19.4
1037.3,912.7,269.4,-0.4,16.2,-19.3
974.7,975.3,280.2,-0.3,16.3,-19.2
912,1038,295.4,-0.1,16.5,-18.8
849.3,1100.7,303.4,-0.2,16.3,-18.9
786.7,1163.3,313,-0.4,16.1,-19.2
724,1226,272.1,-0.9,15.4,-19.5
661.3,1288.7,319.7,-0.5,16.1,-19.5
598.7,1351.3,312.2,-0.5,15.8,-19.1
536,1414,312.9,-0.6,15.8,-19.3
473.3,1476.7,314.1,0,16.3,-18.6
410.7,1539.3,312.7,-0.5,15.9,-19.2
348,1602,313.7,-0.6,16.1,-19.5
285.3,1664.7,327.3,-0.4,15.7,-18.6
222.7,1727.3,327.2,-1,15.6,-20
160,1790,335.8,-0.7,15.7,-19.3
82.5,1867.5,306.9,-0.4,16.1,-19.2
5,1945,318.7,-0.4,16.1,-19.2
-72.5,2022.5,323.7,-0.3,16.2,-19.1
-150,2100,309.9,-0.2,16.5,-19.2
-227.5,2177.5,307.7,-0.2,16.6,-19.3
-305,2255,318.6,-0.2,16.5,-19.1
-382.5,2332.5,307.6,-0.3,16.5,-19.3
-460,2410,310.5,0,16.7,-19
-537.5,2487.5,317.7,-0.1,16.7,-19.1
-615,2565,322.4,-0.1,16.6,-19
-668,2618,316.3,-0.1,16.7,-19.1
-721,2671,310.9,-0.1,16.6,-18.9
-774,2724,315.9,0,16.5,-18.7
-827,2777,304.7,-0.1,16.6,-18.9
-880,2830,316.5,-0.1,16.4,-18.9
-933,2883,307.8,-0.1,16.5,-18.9
-986,2936,311.4,-0.2,16.4,-19.1
-1039,2989,317,0,16.6,-18.9
-1092,3042,334.6,-0.3,16.3,-19.2
-1145,3095,320.4,-0.1,16.4,-18.8
-1193.5,3143.5,312.8,0,16.7,-18.8
-1242,3192,325.7,-0.2,16.2,-18.7
-1290.5,3240.5,311.3,-0.2,16.4,-18.9
-1339,3289,298.7,-0.3,16.2,-19
-1387.5,3337.5,297.1,-0.2,16.3,-18.9
-1436,3386,299.7,-0.3,16,-18.8
-1484.5,3434.5,299.8,-0.4,15.9,-18.8
-1533,3483,296.2,-0.5,15.7,-18.9
-1581.5,3531.5,291,-0.2,16,-18.5
-1630,3580,297.8,-0.1,16.3,-18.4
-1705,3655,287,-0.3,15.9,-18.8
-1780,3730,279.6,-0.5,15.8,-19
-1855,3805,269.4,-0.4,16.2,-19.3
-1930,3880,270.7,-0.2,16.2,-18.8
