depth (cm),age (BP),temperature (degC),error (degC)
0,777,12.683,1.442
10,800,13.166,1.437
44,910,12.866,1.445
50,942,12.661,1.442
60,1011,12.823,1.433
75,1157,12.708,1.43
85,1289,12.744,1.439
95,1448,12.978,1.442
105,1632,12.932,1.442
115,1837,12.73,1.436
125,2059,12.954,1.446
135,2294,13.093,1.449
145,2539,12.65,1.444
155,2790,12.809,1.495
165,3042,13.161,1.428
175,3293,12.817,1.451
185,3538,12.498,1.45
195,3773,13.204,1.454
205,3995,12.486,1.487
215,4198,12.319,1.465
225,4377,13.166,1.46
235,4534,12.818,1.466
245,4678,13.119,1.443
255,4818,13.032,1.445
265,4962,13.32,1.451
275,5117,13.508,1.441
285,5281,13.114,1.443
295,5449,12.903,1.461
305,5616,13.307,1.462
315,5779,13.057,1.433
325,5932,12.281,1.439
335,6079,12.496,1.431
345,6228,12.297,1.467
355,6390,12.927,1.459
365,6572,13.253,1.444
375,6780,13.004,1.446
385,7012,12.045,1.49
395,7267,13.525,1.442
405,7541,12.84,1.444
415,7835,13.35,1.43
425,8145,12.568,1.448
435,8467,12.899,1.444
465,9448,13.464,1.449
475,9761,12.521,1.449
485,10060,13.32,1.448
495,10341,12.355,1.462
505,10603,11.585,1.472
515,10840,10.039,1.553
520,10949,11.076,1.448
