year (AD),age (BP),temperature (degC)
2009,-59,5.29
1992,-42,3.771
1958,-8,3.714
1855,95,3.431
1820,130,3.591
1477,473,3.511
1306,644,3.345
1134,816,2.85
962,988,3.398
791,1159,3.478
619,1331,4.004
447,1503,3.041
276,1674,3.563
80,1870,3.318
-82,2032,4.189
-324,2274,3.415
-526,2476,3.612
-728,2678,3.126
-930,2880,3.428
-1133,3083,2.964
-1335,3285,3.174
-1537,3487,3.087
-1739,3689,3
-1980,3930,3.831
-2246,4196,3.33
-2513,4463,3.413
-2780,4730,3.827
-3047,4997,3.532
-3314,5264,4.052
-3466,5416,4.369
-3590,5540,4.511
-3714,5664,4.405
-3839,5789,5.123
-3938,5888,3.501
-4037,5987,5.161
-4087,6037,3.73
-4186,6136,4.815
-4285,6235,5.048
-4385,6335,5.05
-4484,6434,5.042
-4558,6508,4.735
-4631,6581,4.513
-4727,6677,4.577
-4823,6773,3.406
-4894,6844,3.592
-4990,6940,4.383
-5038,6988,4.715
-5133,7083,4.057
-5229,7179,4.135
-5324,7274,4.442
-5420,7370,4.25
-5516,7466,4.626
-5611,7561,4.815
-5707,7657,4.49
-5803,7753,5.404
-5887,7837,5.285
-5950,7900,5.148
-6056,8006,5.272
-6140,8090,5.357
-6182,8132,5.58
-6204,8154,4.628
-6225,8175,4.252
-6246,8196,4.316
-6267,8217,4.628
-6288,8238,4.374
-6309,8259,4.494
-6330,8280,4.862
-6351,8301,4.844
-6372,8322,4.472
-6393,8343,4.691
-6415,8365,4.931
-6436,8386,4.924
-6520,8470,4.844
-6583,8533,4.362
-6668,8618,5.245
-6752,8702,5.218
-6847,8797,5.416
-6911,8861,5.33
-6995,8945,5.826
-7058,9008,5.889
-7122,9072,5.589
-7248,9198,5.986
-7307,9257,5.512
-7371,9321,5.64
-7403,9353,4.975
-7467,9417,5.336
-7532,9482,5.646
-7596,9546,5.875
-7725,9675,5.232
-7789,9739,5.984
-7854,9804,5.393
-7918,9868,5.932
-7982,9932,5.539
-8047,9997,5.986
-8063,10013,5.978
-8111,10061,5.837
-8175,10125,6.347
-8240,10190,5.985
-8304,10254,6.206
-8352,10302,5.294
-8368,10318,5.371
-8417,10367,5.42
-8481,10431,4.745
-8553,10503,5.562
-8618,10568,5.142
-8682,10632,5.548
-8746,10696,3.472
-8811,10761,3.011
-8875,10825,4.007
-8939,10889,2.627
-9004,10954,2.377
-9068,11018,3.693
-9132,11082,3.714
-9197,11147,3.966
-9261,11211,2.491
-9326,11276,2.166
-9390,11340,3.367
-9454,11404,3.45
-9519,11469,2.553
-9583,11533,2.524
-9647,11597,2.755
-9712,11662,3.005
-9776,11726,2.758
-9840,11790,2.523
-9969,11919,1.869
-10033,11983,2.82
-10066,12016,1.995
