depth (cm),age (BP),precipitation (mm),dD (sum deg c),temperature (degC),AET/PET (missing),sampleID (missing),error (1s),age (BP),temperature (degC)
0.5,-39.756,306,477,11.1,1,0.229,0,32.185,3.45
2,-8.997,245,403,10.4,1,0.192,0,73.724,2.8
4,32.185,291,483,11,1,0.199,0,115.799,2.35
6,73.724,280,449,10.7,1,0.182,0,158.589,2.2
8,115.799,257,429,10.8,1,0.161,0,202.271,2.35
10,158.589,245,399,10.4,1,0.185,0,247.024,2.2
12,202.271,262,421,10.5,1,0.169,0,293.028,2.55
14,247.024,245,407,10.6,1,0.168,0,340.46,2
16,293.028,323,515,11.4,1,0.205,0,389.5,1
18,340.46,287,464,11,1,0.235,0,440.325,1.45
20,389.5,253,355,10.3,1,0.222,0,493.115,2.2
22,440.325,285,451,11,1,0.255,0,548.048,2.6
24,493.115,262,412,10.5,1,0.197,0,605.303,1.6
26,548.048,263,426,10.6,1,0.225,0,664.956,2.65
28,605.303,287,445,10.9,1,0.214,0,726.2,2.15
30,664.956,387,652,12.2,0.996,0.271,0.004,787.774,1.65
32,726.2,245,399,10.4,1,0.197,0,848.412,0.1
34,787.774,311,485,11.2,1,0.213,0,906.847,1.25
36,848.412,450,619,12.5,1,0.257,0,961.813,-0.25
38,906.847,286,449,11,1,0.225,0,1012.051,-0.3
40,961.813,451,769,13.9,0.99,0.273,0.01,1057.077,1.75
42,1012.051,513,808,14.2,0.99,0.274,0.01,1097.91,1.25
44,1057.077,300,478,11.2,1,0.278,0,1135.745,3
46,1097.91,287,442,10.9,1,0.21,0,1189.245,2.15
48,1135.745,282,460,10.8,1,0.203,0,1267.997,2.5
50,1189.245,252,398,10.4,1,0.211,0,1348.562,2.15
52,1267.997,324,522,11.4,1,0.239,0,1430.892,1.6
54,1348.562,307,491,11.3,1,0.226,0,1514.939,2.55
56,1430.892,337,554,12,1,0.232,0,1600.654,2.35
58,1514.939,263,426,10.6,1,0.22,0,1687.99,1.1
60,1600.654,303,496,11.2,1,0.235,0,1776.899,0.5
62,1687.99,379,591,12.1,1,0.257,0,1867.333,0.25
64,1776.899,419,708,13.4,0.99,0.263,0.01,1959.244,-0.65
66,1867.333,448,690,13.1,1,0.271,0,2052.583,0.65
68,1959.244,466,806,14.4,0.99,0.282,0.01,2147.303,0.25
70,2052.583,391,563,11.9,1,0.247,0,2243.356,0.8
72,2147.303,450,727,13.5,0.99,0.279,0.01,2340.694,-0.1
