depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil)
4.28,16870,25,5.03,19030,22.4,4.33,17014,-0.55,0.51
4.33,17014,24.1,5.08,19174,22.6,4.38,17158,-0.57,0.67
4.38,17158,23.9,5.13,19318,22.7,4.43,17302,-0.53,0.56
4.43,17302,24.3,5.18,19462,22.2,4.48,17446,-0.5,0.68
4.48,17446,24.5,5.23,19606,22.4,4.53,17590,-0.46,0.61
4.53,17590,24.3,5.28,19773,22.7,4.58,17734,-0.48,0.49
4.58,17734,24.4,5.33,20147,22.3,4.63,17878,-0.56,0.79
4.63,17878,24.1,5.38,20521,22.7,4.68,18022,-0.55,0.33
4.68,18022,24.2,5.43,20895,23.2,4.73,18166,-0.21,0.88
4.73,18166,24.4,5.48,21269,22.8,4.78,18310,-0.43,0.85
4.78,18310,24.6,5.53,21643,22.5,4.83,18454,-0.68,0.69
4.83,18454,24.9,5.63,22391,23.5,4.88,18598,-0.56,0.76
4.88,18598,24.9,5.68,22765,22.5,4.93,18742,-0.5,0.88
4.93,18742,25,5.73,23139,22.3,4.98,18886,-0.6,0.76
4.98,18886,25.1,5.78,23513,22.6,5.03,19030,-0.57,0.86
5.03,19030,25.4,5.83,23899,23,5.08,19174,-0.65,0.85
5.08,19174,25.1,5.88,24388,22.4,5.13,19318,-0.49,0.89
5.13,19318,25.1,5.93,24877,23,5.18,19462,-0.5,0.73
5.18,19462,25.4,5.98,25365,22.7,5.23,19606,-0.32,0.82
5.23,19606,25.4,6.03,25854,22.7,5.28,19773,-0.47,0.86
5.28,19773,25.2,6.08,26343,22.8,5.33,20147,-0.66,0.83
5.33,20147,25.4,6.13,26832,23.3,5.38,20521,-0.5,0.86
5.38,20521,25.3,6.18,27321,22.5,5.43,20895,-0.66,0.75
5.43,20895,25.7,6.23,27809,22.8,5.48,21269,-0.48,1.04
5.48,21269,25.7,6.28,28328,22,5.53,21643,-0.59,0.98
5.53,21643,25.5,6.33,28866,23,5.58,22017,-0.43,0.79
5.58,22017,25.4,6.38,29405,23.5,5.63,22391,-0.69,0.8
5.63,22391,25.3,6.43,29943,23.7,5.68,22765,-0.56,0.87
5.68,22765,25.6,6.48,30481,23.5,5.73,23139,-0.61,0.75
5.73,23139,25.7,6.53,31020,23.5,5.78,23513,-0.63,0.79
