depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-31,11.386,-16.771,-2.898,514
5,-21,11.329,-18,-3.177,460.429
10,-11,12.057,-14.071,-1.758,525.714
20,8,11.171,-15.871,-3.174,362.143
30,28,11.771,-14.871,-2.345,507.714
40,47,11.143,-16.814,-3.771,342.857
50,67,12.171,-14.057,-1.79,406.286
55,76,9.371,-17.929,-4.673,349.571
60,86,8.829,-9.529,-0.879,1029.286
70,106,12.857,-15.129,-1.851,801.571
80,125,12.514,-14.457,-1.564,862
85,220,10.686,-16.729,-3.758,766
90,398,10.686,-16.729,-3.758,766
95,577,11.743,-14.457,-1.879,916
100,756,11.329,-13.129,-1.623,976.857
103,864,9.443,-19.071,-5.899,676.571
110,1114,13.357,-14.829,-0.996,945.143
120,1472,13.157,-13.871,-0.771,1036.429
130,1830,13.829,-15.557,-1.238,851.429
140,2188,10.714,-17.214,-3.999,774.571
150,2546,11.743,-14.457,-1.879,916
160,2904,9.443,-19.071,-5.899,676.571
170,3261,11.743,-14.457,-1.879,916
175,3440,11.743,-14.457,-1.879,916
180,3619,9.443,-19.071,-5.899,676.571
185,3798,11.743,-14.457,-1.879,916
190,3977,11.743,-14.457,-1.879,916
195,4175,12.586,-13.557,-1.145,961.143
200,4543,11.743,-14.457,-1.879,916
205,4911,11.743,-14.457,-1.879,916
210,5279,11.743,-14.457,-1.879,916
220,6015,10.686,-16.729,-3.758,766
230,6706,10.686,-16.729,-3.758,766
240,7145,10.686,-16.729,-3.758,766
250,7583,12.114,-17.171,-3.137,855.714
260,8022,10.714,-17.214,-3.999,774.571
270,8461,13.157,-13.871,-0.771,1036.429
280,8900,11.543,-13.5,-1.654,1007.286
290,9339,10.686,-16.729,-3.758,766
295,9558,11.543,-13.5,-1.654,1007.286
