year (AD),age (BP),d13C (permil),corec_d180 (permil),d18O (permil)
-17637.48,19587.48,-6.323,-4.228,-3.038
-17655.883,19605.883,-4.694,-4.005,-2.81
-17695.4,19645.4,-6.266,-4.151,-2.96
-17752.571,19702.571,-2.545,-4.085,-2.918
-17753.32,19703.32,-6.062,-4.046,-2.853
-17753.32,19703.32,-6.256,-4.158,-2.966
-17804,19754,-5.8,-4.124,-2.93
-17820.655,19770.655,-5.69,-4.115,-2.921
-17840,19790,-6.789,-4.283,-3.084
-17850.556,19800.556,-5.445,-4.175,-2.975
-17953.891,19903.891,-6.365,-4.138,-2.941
-18020.509,19970.509,-6.152,-4.177,-2.977
-18045.229,19995.229,-3.528,-3.874,-2.669
-18098.8,20048.8,-9.485,-4.224,-3.02
-18153.745,20103.745,-5.773,-4.14,-2.945
-18239.902,20189.902,-4.708,-3.998,-2.801
-18320.291,20270.291,-6.232,-4.082,-2.9
-18353.6,20303.6,-6.506,-4.222,-3.043
-18377.6,20327.6,-6.798,-4.31,-3.118
-18424.841,20374.841,-4.033,-3.9,-2.71
-18434.575,20384.575,-5.31,-3.907,-2.717
-18486.836,20436.836,-6.295,-3.988,-2.819
-18554.979,20504.979,-6.79,-4.056,-2.87
-18620.073,20570.073,-6.698,-4.016,-2.857
-18629.248,20579.248,-6.712,-4.173,-2.99
-18664.357,20614.357,-4.555,-4.699,-3.529
-18677.6,20627.6,-9.843,-4.139,-2.958
-18686.691,20636.691,-6.593,-4.219,-3.066
-18720,20670,-6.58,-4.221,-3.07
-18823.921,20773.921,-5.379,-4.063,-2.888
-18830.263,20780.263,-6.364,-4.068,-2.925
-18835.925,20785.925,-9.15,-4.075,-2.9
-19000,20950,-8.456,-4.004,-2.836
-19018.593,20968.593,-5.861,-3.98,-2.812
-19105.921,21055.921,-6.383,-4.129,-3.008
-19105.921,21055.921,-6.437,-4.15,-3.028
-19223,21173,-6.027,-4.023,-2.863
-19326.447,21276.447,-6.638,-3.841,-2.736
-19346,21296,-7.246,-3.865,-2.71
-19407.939,21357.939,-4.869,-3.957,-2.804
-19546.974,21496.974,-6.783,-4.221,-3.133
-19576.143,21526.143,-3.41,-4.311,-3.141
-19602.105,21552.105,-5.832,-3.86,-2.776
-19602.612,21552.612,-5.356,-4.102,-2.956
-19716.8,21666.8,-7.441,-3.894,-2.752
-19767.5,21717.5,-5.525,-3.704,-2.632
-19877.763,21827.763,-5.76,-3.783,-2.72
-19988.026,21938.026,-5.953,-3.815,-2.76
-20043.158,21993.158,-5.743,-3.915,-2.865
-20113.6,22063.6,-5.761,-3.771,-2.644
-20153.421,22103.421,-5.543,-3.659,-2.617
-20263.684,22213.684,-5.976,-3.6,-2.566
-20373.947,22323.947,-6.656,-3.74,-2.714
-20484.211,22434.211,-6.923,-3.922,-2.905
-20487.929,22437.929,-3.547,-4.312,-3.142
-20537.6,22487.6,-5.312,-3.937,-2.826
-20539.342,22489.342,-5.312,-3.569,-2.557
-20594.474,22544.474,-6.87,-3.938,-2.93
-20759.868,22709.868,-7.537,-4.146,-3.15
-20815,22765,-7.5,-4.072,-3.08
-20990,22940,-3.991,-3.917,-2.824
-21035,22985,-3.68,-4.43,-3.26
-21090.917,23040.917,-7.447,-3.985,-3.015
-21399.714,23349.714,-3.786,-4.508,-3.338
-21642.75,23592.75,-6.96,-3.84,-2.912
-22194.583,24144.583,-6.169,-3.724,-2.838
-22470.5,24420.5,-6.319,-3.737,-2.872
-23298.25,25248.25,-5.694,-3.257,-2.454
-23850.083,25800.083,-5.984,-3.165,-2.405
-24126,26076,-6.34,-3.529,-2.79
-24601,26551,-6.156,-3.231,-2.52
-26026,27976,-6.701,-3.369,-2.686
-26976,28926,-7.426,-3.651,-2.968
-27451,29401,-6.506,-3.474,-2.744
-27926,29876,-6.268,-3.535,-2.75
