depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,401,14.957,-8.429,3.46,642.429
12.5,798,14.771,-8.757,3.282,599.429
25,1188,15.429,-7.957,3.892,582.571
37.5,1573,13.014,-9.771,1.762,964
50,2103,14.757,-8.614,3.352,587.429
67.5,2326,13,-10.1,1.656,962.714
75,2694,13.057,-10.4,1.55,742.286
87.5,3056,13.957,-9.7,2.371,702.857
100,3412,15.1,-8.457,3.576,601.429
112.5,3762,13.429,-9.486,2.108,728.714
125,4106,13.771,-9.443,2.377,683.571
137.5,4443,13.771,-9.443,2.377,683.571
150,4643,13,-9.314,1.861,965.571
157.5,4905,14.757,-8.5,3.307,646.571
167.5,5099,13.729,-8.814,2.46,778.429
175,5417,14.271,-7.9,3.192,914.714
187.5,5729,13,-9.314,1.861,965.571
200,6034,14.257,-8.243,3.026,787.571
212.5,6332,13.186,-8.857,2.194,946.286
225,6623,14.729,-7.829,3.507,777.286
237.5,6908,13.386,-8.914,2.208,836.571
250,7185,12.671,-9.543,1.46,857.857
262.5,7348,11.686,-10.2,0.575,758.429
270,7455,12.086,-9.286,1.271,1052.286
275,7561,12,-9.357,1.185,1051.429
280,7666,12.686,-9.057,1.794,1102.571
285,7770,11.871,-9.429,1.079,1056.571
290,7872,11.757,-9.486,0.986,972.143
295,7974,11.429,-9.186,0.957,1408.571
300,8222,11.8,-8.971,1.152,1183.429
312.5,8463,11.8,-8.971,1.152,1183.429
325,8696,11.529,-8.757,1.106,1164
337.5,8922,11.286,-9.271,0.749,953.429
350,9140,11.3,-10.057,0.373,852.429
362.5,9350,11.514,-8.971,0.968,984.857
375,9552,10.957,-10.5,-0.056,802.286
387.5,9746,11.286,-9.529,0.671,1035
400,9933,11.214,-9.843,0.381,773.429
412.5,10111,10.586,-10.957,-0.438,809.714
425,10280,10.957,-10.3,-0.007,537.714
437.5,10442,8.9,-13.914,-3.182,805
450,10595,10.529,-11,-0.556,577.857
462.5,10739,11.243,-10.1,0.255,620.571
475,10875,9.286,-14.214,-3.087,813.857
487.5,11002,NA,NA,NA,NA
500,11121,NA,NA,NA,NA
512.5,11231,NA,NA,NA,NA
525,11423,NA,NA,NA,NA
550,11743,NA,NA,NA,NA
612.5,11821,NA,NA,NA,NA
650,11787,NA,NA,NA,NA
