depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
50,Carbon-14,109700,100,700,Peat materials,NA
130,Carbon-14,109701,140,2930,Peat materials,NA
210,Carbon-14,109702,130,3360,Peat materials,NA
290,Carbon-14,109703,100,3820,Peat materials,NA
390,Carbon-14,109704,110,4650,Peat materials,NA
477.5,Carbon-14,109705,130,5960,Peat materials,NA
