depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),lab_id (),material_dated ()
10.5,100,110,1350,60,10,1,1,1
60.5,600,610,2220,60,10,1,2,1
110.5,1100,1110,3390,60,10,1,3,1
200.5,2000,2010,4660,70,10,1,4,1
240.5,2400,2410,5310,80,10,1,5,1
370.5,3700,3710,7540,90,10,1,6,1
440.5,4400,4410,8560,80,10,1,7,1
501,5000,5020,8840,90,20,1,8,1
601,6000,6020,9540,90,20,1,9,1
701,7000,7020,9940,90,20,1,10,1
749.5,7490,7500,11590,90,10,1,11,1
