depth (cm),age (BP),age (missing),temperature (degC),temperature (missing),temperature (missing),temperatureComposite (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
1,-16,-27,5.155,-9.098,18.367,-1.053,1,-4,7.949,0.142,Y,-2.798,-16.659,Y,17.23,19.122,Y
8,222,176,5.847,-7.002,18.831,0.031,2,270,9.071,4.447,Y,-2.798,-9.003,Y,17.23,21.493,Y
11,324,261,5.742,-5.171,17.573,0.187,3,391,9.305,1.389,Y,1.034,-9.832,Y,10.981,21.493,Y
15,459,374,6.761,-4.471,18.624,1.11,4,551,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.588,Y
21,663,545,7.062,-4.245,18.89,1.375,5,793,9.305,4.819,Y,1.034,-9.357,Y,17.962,19.588,Y
26,833,688,6.347,-5.817,18.947,0.631,6,995,9.305,4.819,Y,1.034,-9.357,Y,18.544,19.156,Y
30,969,801,3.718,-8.01,16.62,-1.752,7,1155,9.305,1.49,Y,1.034,-12.036,Y,11.601,19.156,Y
35,1224,1077,6.859,-4.678,18.878,1.159,8,1382,9.305,4.819,Y,1.034,-9.357,Y,18.544,19.156,Y
40,1480,1344,7.081,-4.514,19.062,1.349,9,1625,9.305,4.813,Y,1.034,-9.357,Y,18.544,19.588,Y
45,1735,1595,5.699,-5.883,18.006,0.08,10,1881,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.156,Y
50,1990,1842,3.882,-7.907,16.785,-1.608,11,2143,9.305,1.49,Y,1.034,-12.036,Y,11.601,19.156,Y
56,2246,2091,4.459,-7.962,17.687,-1.133,12,2420,9.305,1.49,Y,1.034,-12.036,Y,11.601,19.689,Y
60,2501,2321,5.917,-5.855,18.279,0.253,13,2706,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.588,Y
65,2724,2553,7.11,-3.914,18.742,1.452,14,2914,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.588,Y
70,2946,2781,5.486,-6.068,17.826,-0.113,15,3125,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.156,Y
75,3169,3003,8.054,-2.609,19.15,2.337,16,3339,9.305,4.819,Y,1.034,-9.357,Y,18.544,19.588,Y
80,3391,3230,7.234,-3.611,18.7,1.58,17,3553,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
85,3614,3457,7.104,-4.065,18.79,1.415,18,3768,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
90,3837,3692,7.247,-3.637,18.726,1.584,19,3984,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
95,4059,3920,5.714,-5.778,17.955,0.103,20,4202,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.156,Y
100,4282,4139,6.787,-4.431,18.632,1.135,21,4421,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.588,Y
105,4504,4359,5.987,-6.261,18.665,0.269,22,4642,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
110,4727,4579,6.407,-5.125,18.544,0.748,23,4870,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
115,4949,4797,6.993,-3.822,18.462,1.35,24,5111,9.707,4.819,Y,1.793,-9.357,Y,17.476,19.156,Y
120,5172,5002,6.514,-4.918,18.56,0.858,25,5348,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
125,5394,5206,7.189,-3.768,18.737,1.525,26,5593,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
130,5617,5411,6.732,-4.98,18.872,1.014,27,5834,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.588,Y
135,5931,5761,6.818,-4.777,18.857,1.105,28,6108,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.588,Y
140,6245,6105,7.715,-2.985,18.974,2.04,29,6387,9.305,4.819,Y,1.034,-9.357,Y,18.544,19.588,Y
145,6559,6450,7.515,-2.965,18.678,1.882,30,6662,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
150,6874,6775,7.239,-3.635,18.72,1.58,31,6955,9.305,4.819,Y,1.034,-9.357,Y,17.476,19.588,Y
155,7188,7099,5.991,-5.714,18.287,0.327,32,7271,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.588,Y
160,7502,7424,5.276,-6.806,17.989,-0.375,33,7594,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.156,Y
165,7527,7451,4.92,-7.881,18.2,-0.781,34,7609,9.305,0.348,Y,1.034,-9.38,Y,11.601,19.184,Y
170,7553,7475,4.919,-7.91,18.218,-0.785,35,7628,9.305,0.348,Y,1.034,-9.38,Y,11.601,19.184,Y
175,7579,7497,4.455,-7.613,17.413,-1.109,36,7658,9.305,0.402,Y,1.034,-9.357,Y,11.635,19.156,Y
180,7604,7527,3.937,-8.977,17.508,-1.705,37,7685,5.074,0.348,Y,-8.159,-9.38,Y,11.601,19.184,Y
185,7630,7549,3.512,-8.619,16.678,-2.004,38,7712,7.949,-2.233,Y,-2.798,-11.287,Y,10.764,19.184,Y
190,7655,7569,3.595,-8.341,16.689,-1.88,39,7740,7.949,-1.389,Y,-2.798,-10.182,Y,10.981,19.184,Y
195,7681,7588,5.853,-7.214,19.061,0.039,40,7772,9.305,4.813,Y,1.034,-9.401,Y,18.544,19.689,Y
200,7706,7609,5.644,-5.954,17.967,0.025,41,7803,9.305,0.348,Y,1.034,-9.357,Y,11.601,19.156,Y
205,7732,7626,5.425,-7.037,18.291,-0.301,42,7835,9.305,0.348,Y,1.034,-9.38,Y,11.601,19.184,Y
210,7757,7646,5.06,-7.733,18.301,-0.652,43,7871,9.305,0.348,Y,1.034,-9.38,Y,11.601,19.184,Y
215,7783,7662,5.963,-6.416,18.733,0.232,44,7906,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
220,7809,7673,6.26,-5.803,18.76,0.545,45,7940,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
225,8124,7987,4.664,-7.52,17.555,-0.961,46,8259,9.305,-2.233,Y,1.034,-11.287,Y,10.764,19.184,Y
230,8439,8253,3.317,-8.651,16.428,-2.163,47,8604,7.949,-2.358,Y,-2.798,-11.287,Y,10.357,19.122,Y
235,8754,8506,2.934,-8.397,15.894,-2.384,48,8957,5.074,-0.122,Y,-6.483,-10.264,Y,11.635,19.122,Y
240,9069,8751,4.095,-7.118,16.838,-1.256,49,9322,8.035,-0.122,Y,-2.187,-10.264,Y,12.581,19.122,Y
245,9125,8865,4.38,-8.023,17.578,-1.216,50,9349,7.949,-1.389,Y,-2.798,-9.832,Y,10.981,19.184,Y
250,9180,8955,5.102,-8.698,19.039,-0.713,51,9368,7.949,2.91,Y,-2.798,-14.506,Y,17.23,20.087,Y
255,9236,9029,2.226,-7.744,14.563,-2.846,52,9401,7.949,-1.389,Y,-2.187,-10.264,Y,10.981,19.122,Y
260,9291,9084,3.126,-8.348,16.039,-2.255,53,9436,7.949,-1.389,Y,-2.798,-10.182,Y,10.981,19.122,Y
265,9347,9127,5.936,-6.471,18.733,0.205,54,9507,9.305,4.813,Y,1.034,-9.357,Y,17.476,19.156,Y
270,9450,9220,5.213,-7.303,18.245,-0.476,55,9627,9.305,-1.389,Y,1.034,-9.832,Y,10.981,19.689,Y
