depth (cm),age (yr BP),depth_range (cm),error (yr),material (NA),type (NA)
29,985,-2,30,aquatic shell,AMS14C
190,4200,NA,30,aquatic shell,AMS14C
506,10250,NA,50,aquatic shell,AMS14C
57,75,NA,25,terrestrial wood,AMS14C
74.5,815,-3,25,charcoal,AMS14C
107.5,1260,NA,30,charcoal,AMS14C
113.5,1660,NA,30,terrestrial wood,AMS14C
255.5,4870,NA,80,terrestrial wood,AMS14C
340,5600,NA,35,terrestrial wood,AMS14C
505,8480,NA,55,terrestrial wood,AMS14C
527,8840,NA,55,terrestrial wood,AMS14C
