age (yr BP),depth (cm),sample ID (NaN),error (yr),thickness (cm)
-59,1,Pb-210,3,1
-58,2.5,Pb-210,3,1
-56,3.5,Pb-210,3,1
-53,4.5,Pb-210,3,1
-48,5.5,Pb-210,4,1
-45,6.5,Pb-210,4,1
-37,7.5,Pb-210,5,1
-27,8.5,Pb-210,6,1
-20,9.5,Pb-210,8,1
-12,10.5,Pb-210,9,1
9,11.5,Pb-210,16,1
20,12.5,Pb-210,20,1
57,13.5,Pb-210,51,1
470,44,Mt St. Helens Wn Tephra,2,1
765,54,C-14,60,1
1125,65,C-14,80,1
1610,73.5,C-14,70,1
2090,95,C-14,25,1
2270,115,C-14,25,1
3195,153,C-14,25,1
3945,182.5,C-14,25,1
5085,208.5,C-14,45,1
5575,220.9,C-14,15,1
6290,244,C-14,20,1
6420,245,C-14,50,1
6730,249.5,Mazama Tephra,40,1
