age (AD),year (AD),depthUTh (mm),SampleID (unitless),U238 (ppb),Th230_U238activity (activity),U_Thactivity_error (unitless),Th230_Th232ratio (ppm),AgeUncorrected (AD),AgeUncorr_error (yrs),AgeCorr_error (yrs),U234_U238initial ((ratio)),U234/U238i_error (unitless),U234_U238initial ((ratio)),U234/U238i_error (unitless)
91000,NA,48,BN1,0.162,0.013,0,22.9,87000,0.014,0.024,1.238,0.002,NA,0.002
-155600,NA,103,BN1,0.189,0.04,0.001,61.7,-160300,0.052,0.057,1.23,0.002,NA,0.002
-476100,NA,165,BN1,0.215,0.075,0.001,31.8,131100,0.118,0.146,1.219,0.002,NA,0.002
-847000,NA,254,BN1,0.21,0.115,0.001,30.7,93000,0.086,0.16,1.224,0.003,NA,0.002
-931400,NA,9,BN2,0.142,0.143,0.001,3518.11,-931600,0.058,0.058,1.458,0.002,NA,0.002
-979400,NA,24,BN2,0.146,0.149,0.001,865,82400,0.112,0.112,1.459,0.004,NA,0.004
-1035200,NA,47,BN2,0.13,0.156,0.002,7625.65,-1035400,0.161,0.161,1.459,0.002,NA,0.002
-1127100,NA,77,BN2,0.136,0.166,0.001,6886,-1127300,0.115,0.115,1.454,0.003,NA,0.003
-1210100,NA,110,BN2,0.126,0.177,0.001,301,-1213700,0.073,0.075,1.463,0.003,NA,0.003
-1577000,NA,130,BN2,0.138,0.226,0.003,96.33,-1591000,0.239,0.247,1.504,0.002,NA,0.002
-2098000,NA,158,BN2,0.145,0.287,0.002,1599,-2099000,0.14,0.14,1.523,0.003,NA,0.003
-525300,NA,42,CN1,0.256,0.194,0.001,406.49,-526700,0.033,0.034,3.028,0.009,NA,0.008
-808800,NA,220,CN1,0.311,0.267,0.001,1499.72,-809300,0.043,0.043,3.04,0.003,NA,0.003
-938800,NA,434,CN1,0.278,0.295,0.007,1249.59,189100,0.289,0.289,3,0.003,NA,0.003
-1194800,NA,579,CN1,0.205,0.355,0.002,2996.84,-1195200,0.092,0.092,2.986,0.007,NA,0.007
156300,NA,77,HW1,0.415,0.005,0,352.4,156200,0.019,0.019,1.185,0.004,NA,0.004
120300,NA,148,HW1,0.314,0.009,0,60.28,119200,0.021,0.022,1.177,0.003,NA,0.003
25700,NA,230,HW1,0.339,0.019,0,620.94,183000,0.022,0.023,1.179,0.004,NA,0.004
-86400,NA,364,HW1,0.56,0.025,0,1495.63,-86600,0.023,0.023,0.947,0.002,NA,0.002
-223000,NA,500,HW1,1.264,0.046,0,7224.92,-223000,0.024,0.024,1.217,0.002,NA,0.002
-1572900,NA,33,TF2,1.171,0.249,0.001,3870.41,-1573200,0.103,0.105,1.675,0.005,NA,0.005
-1715900,NA,130,TF2,0.806,0.256,0.001,3936.97,-1716300,0.123,0.124,1.601,0.004,NA,0.004
-2120300,NA,250,TF2,0.611,0.345,0.001,593.48,-2123200,0.248,0.259,1.819,0.005,NA,0.005
-297400,NA,5,WP1,0.149,0.071,0.001,36.5,-308600,0.085,0.101,1.569,0.004,NA,0.004
-310600,NA,42,WP1,0.19,0.072,0.001,370,-311800,0.037,0.037,1.578,0.004,NA,0.004
-377200,NA,77.5,WP1,0.18,0.081,0.001,209,-379400,0.037,0.038,1.564,0.004,NA,0.004
-401800,NA,107.5,WP1,0.175,0.086,0.001,101.89,-406600,0.051,0.056,1.589,0.005,NA,0.004
-611700,NA,158.5,WP1,0.158,0.118,0.001,19.5,-646100,0.098,0.191,1.584,0.011,NA,0.009
-853200,NA,265,WP1,0.126,0.143,0.002,242,-856600,0.122,0.123,1.558,0.006,NA,0.006
-926200,NA,327.5,WP1,0.083,0.151,0.002,520,-927900,0.146,0.147,1.537,0.005,NA,0.005
-1031100,NA,392.5,WP1,0.115,0.166,0.001,530,-1032900,0.068,0.069,1.56,0.004,NA,0.004
-1193000,NA,445,WP1,0.156,0.187,0.001,57.1,-1212000,0.077,0.117,1.544,0.005,NA,0.004
-1350900,NA,56,WN4,0.167,0.257,0.002,770,-1352400,0.103,0.103,1.955,0.002,NA,0.002
-1414900,NA,205,WN4,0.165,0.269,0.002,859.82,-1416300,0.132,0.132,1.966,0.002,NA,0.002
-1541600,NA,394,WN4,0.141,0.288,0.001,2996,-1542100,0.065,0.065,1.971,0.003,NA,0.003
9600,NA,607,WN4,0.217,0.312,0.002,1667.91,-1709300,0.108,0.108,1.965,0.003,NA,0.003
-1916800,NA,821,WN4,0.182,0.347,0.001,1249.41,-1918000,0.077,0.077,1.993,0.003,NA,0.003
-1176100,NA,100,WN11,0.33,0.367,0.002,49126,-1176100,0.1,0.1,3.133,0.006,NA,0.006
-1207800,NA,208,WN11,0.338,0.376,0.002,8659,-1208000,0.083,0.083,3.141,0.007,NA,0.007
-1281100,NA,436,WN11,0.286,0.394,0.003,40625,-1281100,0.107,0.107,3.138,0.005,NA,0.005
-1332700,NA,680,WN11,0.343,0.406,0.002,20179,-1332800,0.073,0.073,3.133,0.002,NA,0.002
-1432900,NA,854,WN11,0.299,0.429,0.002,12916.78,-1433000,0.093,0.093,3.126,0.006,NA,0.006
-1511800,NA,1025,WN11,0.328,0.449,0.002,10919,-1511900,0.098,0.098,3.137,0.006,NA,0.006
