depth (m),age (BP),Uk37 (degC),temperature (microg_g),temperature (missing)
NA,17130,5.6,0.55,0.235
NA,17130,5.5,0.52,0.23
NA,17330,5.9,0.19,0.227
NA,17750,NA,0.02,NA
NA,17950,NA,0.03,NA
NA,18160,NA,0.02,NA
NA,18370,NA,0.04,NA
NA,18570,NA,0.03,NA
NA,18880,NA,0.03,NA
NA,19300,NA,0.02,NA
NA,19500,NA,0,NA
NA,19710,NA,0.01,NA
NA,19920,NA,0.01,NA
NA,20120,NA,0.02,NA
NA,20330,NA,0.01,NA
NA,20540,NA,0.04,NA
NA,20740,NA,0.02,NA
NA,20950,NA,0.03,NA
NA,21160,NA,0.02,NA
NA,21630,NA,0.03,NA
NA,21840,NA,0.03,NA
NA,22050,NA,0.03,NA
NA,22260,NA,0.02,NA
NA,22470,NA,0.02,NA
NA,22900,NA,0,NA
NA,23320,NA,0.01,NA
NA,23530,NA,0,NA
NA,23740,NA,0,NA
NA,23950,NA,0,NA
NA,24480,NA,0.02,NA
